SKU_ID,Category,Subcategory,Brand,Unit,Weight_g,Lifecycle_Status,Country,MDM_Errors
SKU00114,FreshBite,Zero,VM,BOX,311,Active,MA,None
SKU00115,VitalMeal,Kids,EP,BAG,1858,New,VN,None
SKU00116,NutriBox,Zero,VM,BOX,1493,Active,VN,None
SKU00117,EcoPure,Vegan,NB,BAG,1817,New,MA,Missing Brand
SKU00118,VitalMeal,Vegan,FB,BOX,1314,New,BR,None
SKU00119,NutriBox,Vegan,EP,BAG,404,Active,MA,Missing Brand
SKU00120,VitalMeal,Vegan,EP,SACH,1922,New,BR,Missing Brand
SKU00121,NutriBox,Vegan,VM,BAG,819,Active,MA,None
SKU00122,EcoPure,Kids,VM,BAG,1834,Active,VN,None
SKU00123,FreshBite,Kids,EP,SACH,1662,PhaseOut,VN,None
SKU00124,NutriBox,Kids,VM,BOX,229,Active,BR,None
SKU00125,VitalMeal,Zero,EP,SACH,115,PhaseOut,BR,None
SKU00126,EcoPure,Zero,EP,BAG,869,New,FR,None
SKU00127,NutriBox,Zero,EP,BOX,1421,PhaseOut,FR,None
SKU00128,VitalMeal,Zero,NB,SACH,220,New,VN,Bad Unit
SKU00129,VitalMeal,Vegan,VM,BOX,523,Active,VN,None
SKU00130,VitalMeal,Vegan,FB,BOX,583,New,FR,None
SKU00131,NutriBox,Vegan,FB,SACH,1440,New,FR,None
SKU00132,NutriBox,Classic,VM,BOX,1180,Active,BR,Missing Brand
SKU00133,NutriBox,Kids,EP,SACH,488,New,MA,None
SKU00134,FreshBite,Zero,FB,BAG,884,Active,BR,None
SKU00135,NutriBox,Zero,FB,BOX,276,PhaseOut,FR,Duplicate
SKU00136,NutriBox,Vegan,VM,BAG,1517,Active,VN,None
SKU00137,NutriBox,Zero,FB,BAG,491,Active,FR,None
SKU00138,FreshBite,Zero,EP,BOX,445,New,VN,None
SKU00139,NutriBox,Kids,VM,SACH,777,PhaseOut,VN,Missing Brand
SKU00140,VitalMeal,Vegan,EP,BOX,1654,Active,VN,None
SKU00141,NutriBox,Kids,FB,BAG,133,PhaseOut,VN,None
SKU00142,VitalMeal,Classic,FB,BAG,1688,PhaseOut,MA,None
SKU00143,VitalMeal,Classic,EP,SACH,1624,New,FR,Wrong Weight
SKU00144,VitalMeal,Classic,NB,BOX,1086,Active,BR,None
SKU00145,FreshBite,Vegan,FB,BAG,1882,New,VN,None
SKU00146,FreshBite,Zero,NB,BAG,1898,Active,VN,Duplicate
SKU00147,FreshBite,Vegan,FB,BAG,742,PhaseOut,BR,None
SKU00148,NutriBox,Vegan,NB,SACH,542,Active,BR,Wrong Weight
SKU00149,VitalMeal,Zero,NB,BAG,1341,Active,VN,Duplicate
SKU00150,FreshBite,Kids,NB,BAG,1598,PhaseOut,BR,Bad Unit
SKU00151,FreshBite,Classic,EP,BOX,1193,PhaseOut,BR,None
SKU00152,NutriBox,Kids,NB,BOX,1019,Active,MA,None
SKU00153,FreshBite,Classic,NB,BAG,402,New,BR,Missing Brand
SKU00154,NutriBox,Vegan,NB,BAG,1130,Active,FR,Wrong Weight
SKU00155,EcoPure,Classic,FB,BOX,89,PhaseOut,FR,None
SKU00156,FreshBite,Vegan,NB,SACH,1959,New,FR,Missing Brand
SKU00157,EcoPure,Kids,FB,SACH,1409,PhaseOut,VN,None
SKU00158,NutriBox,Vegan,NB,SACH,689,PhaseOut,FR,None
SKU00159,VitalMeal,Kids,NB,SACH,222,New,MA,None
SKU00160,FreshBite,Zero,EP,SACH,1620,PhaseOut,FR,Missing Brand
SKU00161,NutriBox,Zero,FB,SACH,308,PhaseOut,VN,None
SKU00162,VitalMeal,Zero,NB,SACH,1961,PhaseOut,MA,None
SKU00163,VitalMeal,Vegan,FB,SACH,566,PhaseOut,FR,Wrong Weight
SKU00164,EcoPure,Zero,FB,BOX,779,PhaseOut,MA,None
SKU00165,NutriBox,Classic,VM,SACH,572,PhaseOut,MA,None
SKU00166,VitalMeal,Kids,EP,SACH,1967,PhaseOut,VN,None
SKU00167,FreshBite,Kids,EP,SACH,888,PhaseOut,VN,None
SKU00168,FreshBite,Classic,EP,BAG,166,PhaseOut,MA,None
SKU00169,EcoPure,Vegan,VM,BOX,233,Active,FR,Duplicate
SKU00170,VitalMeal,Vegan,VM,BOX,1979,Active,VN,None
SKU00171,NutriBox,Kids,EP,BOX,1947,PhaseOut,MA,Missing Brand
SKU00172,FreshBite,Zero,VM,SACH,1189,Active,BR,None
SKU00173,VitalMeal,Vegan,VM,SACH,211,New,BR,None
SKU00174,VitalMeal,Vegan,VM,BAG,1652,Active,VN,None
SKU00175,EcoPure,Classic,EP,BOX,1785,PhaseOut,FR,None
SKU00176,FreshBite,Classic,EP,SACH,592,PhaseOut,BR,None
SKU00177,FreshBite,Zero,EP,BOX,1660,Active,BR,None
SKU00178,NutriBox,Vegan,VM,BAG,1310,PhaseOut,BR,None
SKU00179,FreshBite,Vegan,EP,BAG,888,New,FR,None
SKU00180,NutriBox,Classic,VM,BAG,1139,New,FR,None
SKU00181,FreshBite,Vegan,NB,BOX,1143,PhaseOut,VN,None
SKU00182,EcoPure,Kids,VM,SACH,1882,New,VN,Duplicate
SKU00183,FreshBite,Classic,FB,SACH,496,New,BR,None
SKU00184,NutriBox,Zero,EP,BAG,465,Active,FR,None
SKU00185,NutriBox,Classic,EP,SACH,581,New,MA,Duplicate
SKU00186,EcoPure,Vegan,FB,BAG,490,Active,BR,Missing Brand
SKU00187,FreshBite,Zero,VM,BOX,787,PhaseOut,VN,None
SKU00188,FreshBite,Classic,NB,BAG,513,Active,FR,None
SKU00189,EcoPure,Kids,FB,BOX,1994,PhaseOut,VN,None
SKU00190,FreshBite,Kids,FB,BAG,445,PhaseOut,VN,None
SKU00191,FreshBite,Classic,VM,SACH,760,PhaseOut,FR,Missing Brand
SKU00192,NutriBox,Kids,EP,SACH,1624,PhaseOut,BR,Missing Brand
SKU00193,FreshBite,Kids,VM,BAG,1730,PhaseOut,FR,None
SKU00194,FreshBite,Kids,FB,SACH,1630,Active,BR,Wrong Weight
SKU00195,EcoPure,Zero,FB,SACH,444,PhaseOut,VN,None
SKU00196,EcoPure,Kids,EP,SACH,375,New,FR,None
SKU00197,VitalMeal,Kids,EP,BOX,1966,New,MA,Bad Unit
SKU00198,NutriBox,Kids,EP,SACH,1992,PhaseOut,BR,None
SKU00199,FreshBite,Zero,VM,BOX,1164,New,MA,Missing Brand
SKU00200,FreshBite,Classic,EP,BAG,799,Active,BR,Wrong Weight
SKU00201,VitalMeal,Vegan,FB,SACH,1143,Active,FR,None
SKU00202,FreshBite,Kids,FB,SACH,1239,PhaseOut,MA,None
SKU00203,NutriBox,Classic,NB,SACH,691,PhaseOut,FR,None
SKU00204,VitalMeal,Kids,VM,BAG,263,PhaseOut,BR,None
SKU00205,NutriBox,Zero,NB,BOX,1925,New,BR,None
SKU00206,VitalMeal,Classic,FB,BOX,1674,New,BR,None
SKU00207,VitalMeal,Zero,NB,SACH,1408,Active,BR,Missing Brand
SKU00208,EcoPure,Kids,FB,BAG,1837,New,VN,None
SKU00209,NutriBox,Kids,NB,BAG,418,Active,BR,None
SKU00210,FreshBite,Zero,EP,BAG,1934,New,MA,None
SKU00211,FreshBite,Vegan,NB,BAG,1657,Active,BR,Missing Brand
SKU00212,NutriBox,Zero,EP,BAG,1750,PhaseOut,FR,None
SKU00213,FreshBite,Kids,EP,BOX,98,New,VN,None
SKU00214,FreshBite,Zero,VM,BOX,1125,Active,MA,Missing Brand
SKU00215,NutriBox,Vegan,EP,BOX,1362,New,VN,None
SKU00216,VitalMeal,Zero,EP,SACH,1863,PhaseOut,VN,None
SKU00217,NutriBox,Vegan,NB,BAG,1699,Active,VN,Bad Unit
SKU00218,VitalMeal,Vegan,FB,SACH,1312,New,FR,None
SKU00219,FreshBite,Zero,VM,BAG,182,New,VN,Wrong Weight
SKU00220,FreshBite,Zero,EP,BOX,1048,PhaseOut,VN,None
SKU00221,FreshBite,Classic,VM,SACH,835,PhaseOut,BR,None
SKU00222,EcoPure,Kids,NB,BOX,1239,Active,FR,Bad Unit
SKU00223,VitalMeal,Vegan,EP,BAG,1447,New,MA,None
SKU00224,EcoPure,Classic,NB,BAG,422,New,MA,Missing Brand
SKU00225,EcoPure,Zero,VM,BAG,1878,PhaseOut,MA,Bad Unit
SKU00226,NutriBox,Kids,NB,BOX,1551,PhaseOut,FR,Bad Unit
SKU00227,EcoPure,Classic,VM,BAG,1828,Active,MA,Wrong Weight
SKU00228,NutriBox,Vegan,NB,BOX,528,New,FR,None
SKU00229,NutriBox,Classic,VM,SACH,881,New,BR,Missing Brand
SKU00230,EcoPure,Vegan,FB,BAG,699,Active,BR,None
SKU00231,VitalMeal,Zero,NB,BAG,1664,Active,FR,None
SKU00232,VitalMeal,Kids,NB,BAG,731,PhaseOut,MA,Bad Unit
SKU00233,VitalMeal,Kids,FB,SACH,1708,PhaseOut,FR,None
SKU00234,VitalMeal,Kids,FB,BAG,737,Active,FR,None
SKU00235,VitalMeal,Zero,NB,BOX,1373,Active,VN,None
SKU00236,EcoPure,Vegan,FB,BOX,131,New,FR,None
SKU00237,EcoPure,Zero,EP,BAG,136,Active,VN,Wrong Weight
SKU00238,FreshBite,Kids,VM,BAG,274,Active,BR,None
SKU00239,VitalMeal,Zero,VM,SACH,65,New,VN,None
SKU00240,EcoPure,Zero,VM,SACH,871,Active,FR,Bad Unit
SKU00241,FreshBite,Zero,EP,SACH,1431,PhaseOut,BR,None
SKU00242,VitalMeal,Vegan,FB,BAG,212,PhaseOut,VN,None
SKU00243,NutriBox,Classic,FB,SACH,1683,New,FR,None
SKU00244,FreshBite,Classic,NB,SACH,1741,Active,BR,None
SKU00245,EcoPure,Zero,FB,BOX,563,PhaseOut,VN,None
SKU00246,NutriBox,Classic,NB,SACH,399,PhaseOut,FR,Bad Unit
SKU00247,NutriBox,Classic,EP,BOX,1982,PhaseOut,FR,None
SKU00248,NutriBox,Zero,VM,BOX,730,PhaseOut,MA,Duplicate
SKU00249,FreshBite,Zero,VM,SACH,1537,Active,MA,Bad Unit
SKU00250,EcoPure,Kids,VM,BOX,1900,Active,VN,None
SKU00251,NutriBox,Classic,FB,BAG,1910,Active,VN,None
SKU00252,VitalMeal,Vegan,NB,BAG,1448,Active,VN,None
SKU00253,NutriBox,Zero,NB,SACH,1165,PhaseOut,FR,None
SKU00254,NutriBox,Kids,EP,BAG,230,New,VN,Duplicate
SKU00255,FreshBite,Vegan,FB,BOX,792,New,FR,None
SKU00256,FreshBite,Classic,EP,BAG,1374,PhaseOut,VN,None
SKU00257,EcoPure,Kids,NB,SACH,709,PhaseOut,FR,None
SKU00258,VitalMeal,Zero,NB,SACH,1865,New,FR,None
SKU00259,FreshBite,Vegan,VM,BOX,1262,New,MA,None
SKU00260,NutriBox,Zero,FB,SACH,1932,PhaseOut,BR,None
SKU00261,EcoPure,Classic,NB,BAG,1935,PhaseOut,FR,None
SKU00262,NutriBox,Vegan,VM,SACH,1387,Active,VN,None
SKU00263,NutriBox,Classic,FB,BOX,542,Active,MA,None
SKU00264,FreshBite,Classic,EP,SACH,972,New,VN,Missing Brand
SKU00265,EcoPure,Kids,FB,BAG,1995,PhaseOut,VN,None
SKU00266,VitalMeal,Zero,FB,BOX,177,New,FR,None
SKU00267,VitalMeal,Vegan,NB,BAG,1592,Active,FR,None
SKU00268,FreshBite,Classic,NB,BOX,1499,Active,BR,None
SKU00269,FreshBite,Classic,FB,SACH,1632,New,FR,Duplicate
SKU00270,EcoPure,Vegan,NB,BOX,614,Active,FR,None
SKU00271,VitalMeal,Classic,NB,BOX,1260,PhaseOut,BR,None
SKU00272,VitalMeal,Kids,NB,SACH,599,New,VN,Bad Unit
SKU00273,VitalMeal,Kids,VM,BAG,502,PhaseOut,BR,Bad Unit
SKU00274,NutriBox,Kids,VM,SACH,520,PhaseOut,BR,None
SKU00275,VitalMeal,Kids,FB,BOX,1037,Active,BR,None
SKU00276,NutriBox,Classic,NB,SACH,787,PhaseOut,MA,Missing Brand
SKU00277,EcoPure,Vegan,VM,BOX,1638,New,VN,None
SKU00278,NutriBox,Vegan,FB,SACH,1984,PhaseOut,MA,Bad Unit
SKU00279,EcoPure,Vegan,NB,SACH,273,PhaseOut,MA,Missing Brand
SKU00280,VitalMeal,Vegan,EP,BAG,203,PhaseOut,FR,Missing Brand
SKU00281,VitalMeal,Zero,NB,BOX,609,PhaseOut,BR,None
SKU00282,EcoPure,Vegan,NB,BAG,400,PhaseOut,BR,Missing Brand
SKU00283,FreshBite,Zero,VM,BOX,1220,Active,MA,None
SKU00284,EcoPure,Zero,FB,SACH,1978,New,FR,Bad Unit
SKU00285,FreshBite,Kids,FB,BOX,1649,Active,FR,None
SKU00286,NutriBox,Zero,VM,BAG,398,New,FR,None
SKU00287,NutriBox,Classic,NB,BAG,231,New,VN,None
SKU00288,NutriBox,Zero,EP,BAG,686,New,MA,None
SKU00289,VitalMeal,Kids,NB,BOX,1067,New,VN,None
SKU00290,NutriBox,Zero,NB,BAG,228,New,FR,Duplicate
SKU00291,FreshBite,Classic,EP,BAG,1112,PhaseOut,FR,None
SKU00292,NutriBox,Classic,VM,BAG,821,Active,FR,Bad Unit
SKU00293,EcoPure,Classic,FB,SACH,943,Active,BR,None
SKU00294,EcoPure,Kids,VM,SACH,1076,PhaseOut,MA,None
SKU00295,VitalMeal,Kids,VM,BOX,1065,New,BR,None
SKU00296,EcoPure,Vegan,NB,BOX,113,Active,VN,None
SKU00297,FreshBite,Kids,FB,BAG,78,PhaseOut,BR,Duplicate
SKU00298,NutriBox,Classic,FB,SACH,421,PhaseOut,MA,None
SKU00299,VitalMeal,Classic,VM,BAG,1596,Active,BR,None
SKU00300,NutriBox,Kids,EP,BAG,146,Active,FR,None
SKU00301,NutriBox,Zero,VM,SACH,1943,New,VN,Duplicate
SKU00302,FreshBite,Kids,EP,SACH,1515,New,VN,None
SKU00303,EcoPure,Kids,FB,SACH,1276,Active,FR,None
SKU00304,EcoPure,Classic,VM,BOX,1484,New,FR,None
SKU00305,NutriBox,Vegan,NB,BOX,1042,PhaseOut,FR,None
SKU00306,VitalMeal,Classic,VM,BAG,70,New,MA,None
SKU00307,EcoPure,Vegan,FB,BOX,1624,New,BR,Bad Unit
SKU00308,VitalMeal,Classic,NB,SACH,784,PhaseOut,VN,None
SKU00309,EcoPure,Kids,NB,SACH,1175,New,BR,None
SKU00310,VitalMeal,Classic,EP,BOX,1119,PhaseOut,FR,None
SKU00311,FreshBite,Classic,NB,BAG,115,New,FR,None
SKU00312,VitalMeal,Classic,NB,BAG,652,Active,BR,None
SKU00313,FreshBite,Kids,VM,BOX,1237,New,VN,Wrong Weight
SKU00314,FreshBite,Kids,FB,BAG,1184,Active,MA,Bad Unit
SKU00315,VitalMeal,Kids,EP,BAG,387,Active,BR,Bad Unit
SKU00316,FreshBite,Kids,VM,BAG,172,Active,FR,Bad Unit
SKU00317,NutriBox,Vegan,NB,SACH,1778,Active,FR,None
SKU00318,FreshBite,Vegan,NB,SACH,496,Active,MA,None
SKU00319,EcoPure,Zero,EP,BOX,660,PhaseOut,BR,None
SKU00320,VitalMeal,Kids,FB,SACH,1364,PhaseOut,MA,None
SKU00321,NutriBox,Vegan,EP,BAG,720,PhaseOut,MA,None
SKU00322,VitalMeal,Classic,VM,SACH,1485,Active,VN,None
SKU00323,EcoPure,Kids,EP,BOX,664,New,VN,None
SKU00324,EcoPure,Zero,NB,SACH,946,PhaseOut,FR,Bad Unit
SKU00325,EcoPure,Zero,VM,BAG,330,New,BR,Missing Brand
SKU00326,FreshBite,Zero,NB,BAG,1116,New,VN,Duplicate
SKU00327,FreshBite,Classic,FB,BOX,1559,Active,FR,None
SKU00328,VitalMeal,Vegan,NB,SACH,645,Active,BR,None
SKU00329,VitalMeal,Classic,NB,SACH,752,Active,FR,None
SKU00330,NutriBox,Kids,EP,SACH,1124,PhaseOut,VN,None
SKU00331,NutriBox,Zero,NB,BAG,1971,Active,FR,None
SKU00332,VitalMeal,Classic,VM,BOX,259,PhaseOut,BR,None
SKU00333,FreshBite,Classic,VM,SACH,175,PhaseOut,BR,None
SKU00334,EcoPure,Vegan,FB,BAG,541,PhaseOut,FR,None
SKU00335,VitalMeal,Vegan,VM,BAG,1582,PhaseOut,BR,None
SKU00336,NutriBox,Zero,EP,BAG,1009,Active,FR,None
SKU00337,FreshBite,Classic,FB,SACH,1019,PhaseOut,BR,None
SKU00338,VitalMeal,Classic,VM,SACH,630,Active,FR,None
SKU00339,VitalMeal,Vegan,EP,SACH,826,Active,FR,None
SKU00340,FreshBite,Classic,VM,SACH,307,PhaseOut,FR,None
SKU00341,VitalMeal,Classic,VM,SACH,1261,Active,MA,None
SKU00342,FreshBite,Classic,NB,SACH,279,New,BR,Missing Brand
SKU00343,EcoPure,Vegan,VM,SACH,238,Active,VN,Missing Brand
SKU00344,FreshBite,Zero,VM,SACH,1488,Active,FR,None
SKU00345,FreshBite,Kids,EP,SACH,59,PhaseOut,MA,None
SKU00346,FreshBite,Zero,EP,BAG,1187,PhaseOut,VN,None
SKU00347,VitalMeal,Kids,NB,SACH,1149,Active,FR,None
SKU00348,VitalMeal,Classic,VM,BOX,725,PhaseOut,VN,None
SKU00349,FreshBite,Zero,NB,BAG,551,New,MA,None
SKU00350,VitalMeal,Kids,VM,SACH,134,New,VN,None
SKU00351,NutriBox,Vegan,FB,BOX,98,PhaseOut,FR,None
SKU00352,NutriBox,Vegan,FB,SACH,1568,Active,VN,Missing Brand
SKU00353,VitalMeal,Zero,NB,BOX,887,New,VN,None
SKU00354,VitalMeal,Zero,NB,BOX,1057,New,FR,Missing Brand
SKU00355,FreshBite,Classic,NB,BOX,738,Active,MA,None
SKU00356,EcoPure,Zero,EP,BOX,436,PhaseOut,MA,None
SKU00357,VitalMeal,Classic,EP,BAG,1019,New,VN,Wrong Weight
SKU00358,NutriBox,Classic,EP,BAG,1462,Active,BR,Wrong Weight
SKU00359,FreshBite,Vegan,NB,BOX,1055,Active,VN,None
SKU00360,VitalMeal,Vegan,VM,SACH,267,New,BR,None
SKU00361,NutriBox,Kids,FB,BOX,1774,PhaseOut,VN,None
SKU00362,NutriBox,Vegan,NB,BAG,1054,New,MA,None
SKU00363,EcoPure,Vegan,EP,SACH,1419,Active,VN,Bad Unit
SKU00364,FreshBite,Zero,EP,BAG,1303,New,VN,Wrong Weight
SKU00365,FreshBite,Vegan,NB,BAG,304,PhaseOut,BR,None
SKU00366,EcoPure,Kids,NB,SACH,285,Active,MA,None
SKU00367,EcoPure,Zero,EP,BOX,1099,PhaseOut,BR,None
SKU00368,FreshBite,Kids,VM,BOX,1657,New,VN,None
SKU00369,FreshBite,Vegan,EP,BOX,1334,New,FR,Duplicate
SKU00370,VitalMeal,Kids,EP,BOX,1839,PhaseOut,VN,Bad Unit
SKU00371,VitalMeal,Zero,NB,SACH,320,New,VN,None
SKU00372,EcoPure,Classic,VM,SACH,172,PhaseOut,BR,None
SKU00373,VitalMeal,Kids,EP,SACH,705,New,FR,None
SKU00374,NutriBox,Kids,EP,BAG,1330,PhaseOut,FR,None
SKU00375,VitalMeal,Zero,FB,SACH,1729,PhaseOut,BR,Bad Unit
SKU00376,VitalMeal,Zero,NB,BOX,1494,Active,MA,None
SKU00377,NutriBox,Kids,FB,BAG,308,Active,FR,None
SKU00378,EcoPure,Vegan,FB,BOX,997,PhaseOut,FR,None
