Date,SKU,Promo_Flag,Promo_Type,Discount_Rate
2023-01-29,MA-SKU-0096,0,Bundle,0.29
2023-04-07,MA-SKU-0220,0,Discount,0.19
2023-01-10,MA-SKU-0042,0,Display,0.28
2023-08-30,MA-SKU-0291,1,Bundle,0.15
2023-08-20,MA-SKU-0107,0,Discount,0.21
2023-10-11,MA-SKU-0265,0,Discount,0.27
2024-12-15,MA-SKU-0094,0,Discount,0.2
2024-12-26,MA-SKU-0261,0,Bundle,0.2
2023-07-19,MA-SKU-0070,0,Discount,0.23
2023-03-20,MA-SKU-0218,1,Display,0.27
2023-06-22,MA-SKU-0020,0,Discount,0.07
2024-04-11,MA-SKU-0091,1,Bundle,0.13
2024-08-03,MA-SKU-0126,0,Display,0.15
2024-02-20,MA-SKU-0079,0,Display,0.28
2024-03-24,MA-SKU-0237,1,Discount,0.29
2023-03-28,MA-SKU-0181,0,Discount,0.08
2023-04-11,MA-SKU-0024,0,Display,0.08
2023-01-08,MA-SKU-0155,0,Discount,0.28
2023-07-19,MA-SKU-0004,0,Bundle,0.12
2024-05-19,MA-SKU-0119,1,Display,0.11
2023-03-28,MA-SKU-0276,1,Discount,0.06
2023-02-12,MA-SKU-0017,1,Display,0.12
2024-01-20,MA-SKU-0197,0,Discount,0.22
2024-09-12,MA-SKU-0056,0,Discount,0.16
2024-03-10,MA-SKU-0092,0,Bundle,0.18
2024-02-12,MA-SKU-0018,1,Discount,0.28
2024-04-27,MA-SKU-0192,0,Discount,0.08
2024-10-25,MA-SKU-0236,0,Discount,0.07
2023-01-17,MA-SKU-0276,1,Bundle,0.26
2024-10-06,MA-SKU-0226,0,Discount,0.24
2023-05-28,MA-SKU-0232,0,Discount,0.12
2023-10-04,MA-SKU-0039,1,Discount,0.13
2023-08-20,MA-SKU-0152,0,Display,0.13
2024-01-01,MA-SKU-0126,0,Bundle,0.21
2023-08-16,MA-SKU-0236,0,Display,0.07
2024-10-12,MA-SKU-0054,0,Bundle,0.17
2024-03-11,MA-SKU-0171,1,Bundle,0.08
2024-02-03,MA-SKU-0108,0,Display,0.25
2023-07-30,MA-SKU-0183,0,Bundle,0.15
2024-01-26,MA-SKU-0197,0,Bundle,0.18
2024-05-13,MA-SKU-0086,1,Display,0.06
2024-06-23,MA-SKU-0200,0,Discount,0.06
2024-07-16,MA-SKU-0274,0,Bundle,0.22
2024-05-05,MA-SKU-0210,0,Display,0.24
2024-03-17,MA-SKU-0117,0,Bundle,0.23
2023-09-18,MA-SKU-0190,0,Display,0.23
2023-12-16,MA-SKU-0041,0,Discount,0.08
2023-12-18,MA-SKU-0041,0,Bundle,0.22
2024-06-03,MA-SKU-0275,0,Discount,0.1
2023-11-16,MA-SKU-0016,1,Discount,0.07
2023-05-18,MA-SKU-0282,0,Display,0.24
2024-07-03,MA-SKU-0257,0,Bundle,0.27
2024-09-14,MA-SKU-0062,0,Bundle,0.23
2024-01-03,MA-SKU-0061,1,Bundle,0.25
2023-08-08,MA-SKU-0099,1,Bundle,0.3
2023-12-03,MA-SKU-0018,0,Bundle,0.08
2023-08-11,MA-SKU-0016,1,Display,0.29
2024-10-09,MA-SKU-0245,0,Bundle,0.2
2023-12-26,MA-SKU-0250,0,Discount,0.25
2023-11-25,MA-SKU-0080,0,Discount,0.21
2024-04-07,MA-SKU-0038,1,Bundle,0.19
2024-07-14,MA-SKU-0035,0,Display,0.23
2024-01-17,MA-SKU-0196,1,Display,0.13
2024-08-12,MA-SKU-0157,0,Bundle,0.28
2024-09-08,MA-SKU-0203,0,Discount,0.08
2023-06-18,MA-SKU-0195,0,Bundle,0.13
2023-08-05,MA-SKU-0215,1,Bundle,0.06
2024-01-13,MA-SKU-0284,0,Bundle,0.12
2023-04-29,MA-SKU-0195,0,Display,0.1
2023-07-09,MA-SKU-0151,0,Display,0.06
2024-01-05,MA-SKU-0013,1,Discount,0.17
2023-05-29,MA-SKU-0145,0,Discount,0.17
2024-11-06,MA-SKU-0056,0,Bundle,0.07
2024-10-13,MA-SKU-0210,0,Discount,0.12
2024-05-02,MA-SKU-0267,1,Bundle,0.29
2024-01-09,MA-SKU-0209,1,Discount,0.08
2024-11-23,MA-SKU-0016,1,Bundle,0.13
2023-06-09,MA-SKU-0285,0,Display,0.06
2023-12-17,MA-SKU-0202,0,Bundle,0.09
2023-10-15,MA-SKU-0098,1,Display,0.22
2023-10-15,MA-SKU-0278,0,Display,0.14
2023-08-14,MA-SKU-0208,0,Discount,0.16
2024-06-06,MA-SKU-0128,0,Discount,0.09
2024-06-05,MA-SKU-0287,1,Display,0.22
2023-09-30,MA-SKU-0251,0,Bundle,0.24
2024-02-06,MA-SKU-0264,0,Bundle,0.1
2023-07-02,MA-SKU-0270,1,Discount,0.06
2024-10-26,MA-SKU-0187,0,Bundle,0.07
2024-05-02,MA-SKU-0213,0,Bundle,0.21
2023-05-04,MA-SKU-0282,1,Bundle,0.08
2024-09-17,MA-SKU-0210,1,Display,0.17
2024-02-18,MA-SKU-0075,1,Display,0.09
2024-12-25,MA-SKU-0147,0,Bundle,0.09
2023-06-21,MA-SKU-0212,0,Discount,0.05
2023-10-15,MA-SKU-0108,1,Bundle,0.13
2024-03-10,MA-SKU-0128,0,Discount,0.07
2024-11-16,MA-SKU-0009,1,Display,0.15
2023-04-23,MA-SKU-0046,1,Bundle,0.2
2023-05-02,MA-SKU-0095,0,Bundle,0.14
2024-06-27,MA-SKU-0102,1,Discount,0.23
2023-08-10,MA-SKU-0145,1,Discount,0.24
2024-09-22,MA-SKU-0026,0,Bundle,0.22
2023-02-08,MA-SKU-0219,0,Bundle,0.28
2024-05-11,MA-SKU-0017,0,Discount,0.11
2023-08-21,MA-SKU-0166,0,Display,0.1
2024-06-13,MA-SKU-0081,0,Discount,0.2
2023-05-29,MA-SKU-0071,0,Bundle,0.2
2024-02-01,MA-SKU-0253,1,Display,0.18
2024-10-22,MA-SKU-0161,1,Display,0.05
2024-09-29,MA-SKU-0037,0,Display,0.19
2023-10-29,MA-SKU-0200,0,Display,0.28
2023-12-26,MA-SKU-0199,0,Bundle,0.13
2023-08-26,MA-SKU-0254,1,Display,0.29
2024-10-08,MA-SKU-0178,0,Discount,0.14
2024-10-24,MA-SKU-0034,0,Discount,0.08
2023-08-24,MA-SKU-0081,1,Discount,0.15
2023-07-22,MA-SKU-0219,0,Bundle,0.17
2023-09-13,MA-SKU-0157,1,Display,0.21
2024-08-20,MA-SKU-0003,1,Discount,0.18
2024-10-23,MA-SKU-0166,1,Discount,0.18
2023-08-23,MA-SKU-0203,0,Discount,0.06
2023-12-11,MA-SKU-0193,0,Display,0.11
2024-06-17,MA-SKU-0234,1,Discount,0.13
2024-04-10,MA-SKU-0205,0,Display,0.3
2024-06-24,MA-SKU-0149,0,Display,0.12
2023-08-01,MA-SKU-0158,0,Display,0.27
2024-04-07,MA-SKU-0278,0,Bundle,0.13
2024-03-11,MA-SKU-0165,0,Bundle,0.07
2023-10-10,MA-SKU-0067,0,Display,0.11
2024-07-15,MA-SKU-0087,0,Display,0.12
2024-08-29,MA-SKU-0216,0,Bundle,0.29
2024-04-07,MA-SKU-0000,0,Bundle,0.22
2024-02-11,MA-SKU-0134,0,Display,0.28
2023-03-29,MA-SKU-0184,0,Bundle,0.26
2023-02-13,MA-SKU-0139,0,Discount,0.19
2024-04-05,MA-SKU-0105,0,Display,0.22
2023-10-05,MA-SKU-0132,0,Display,0.21
2024-11-13,MA-SKU-0107,0,Bundle,0.22
2024-02-25,MA-SKU-0177,0,Discount,0.12
2024-12-01,MA-SKU-0297,0,Bundle,0.15
2023-12-19,MA-SKU-0145,0,Discount,0.2
2024-11-26,MA-SKU-0073,1,Discount,0.06
2024-05-29,MA-SKU-0107,0,Display,0.17
2024-12-03,MA-SKU-0121,1,Discount,0.26
2024-09-21,MA-SKU-0016,0,Display,0.17
2023-01-19,MA-SKU-0195,1,Discount,0.19
2023-01-23,MA-SKU-0296,0,Display,0.1
2024-02-17,MA-SKU-0251,0,Discount,0.25
2023-01-30,MA-SKU-0118,0,Bundle,0.14
2023-04-18,MA-SKU-0161,0,Discount,0.29
2024-01-02,MA-SKU-0197,0,Bundle,0.3
2023-10-08,MA-SKU-0044,0,Discount,0.28
2023-05-08,MA-SKU-0178,0,Discount,0.07
2023-08-17,MA-SKU-0043,0,Display,0.13
2023-04-21,MA-SKU-0270,1,Discount,0.29
2023-05-16,MA-SKU-0077,0,Discount,0.25
2023-12-28,MA-SKU-0177,1,Discount,0.28
2023-07-05,MA-SKU-0002,0,Bundle,0.19
2024-10-17,MA-SKU-0213,0,Display,0.17
2024-08-06,MA-SKU-0073,0,Display,0.08
2023-05-09,MA-SKU-0050,0,Discount,0.26
2023-09-18,MA-SKU-0066,0,Discount,0.24
2024-05-29,MA-SKU-0092,0,Bundle,0.06
2024-03-24,MA-SKU-0175,0,Discount,0.1
2023-04-14,MA-SKU-0144,1,Display,0.19
2024-04-27,MA-SKU-0006,0,Display,0.22
2023-08-12,MA-SKU-0268,1,Bundle,0.08
2024-05-05,MA-SKU-0003,1,Bundle,0.11
2024-04-17,MA-SKU-0137,1,Display,0.1
2023-01-10,MA-SKU-0230,0,Bundle,0.1
2024-02-09,MA-SKU-0087,0,Discount,0.28
2023-10-29,MA-SKU-0016,0,Discount,0.23
2023-08-19,MA-SKU-0051,0,Bundle,0.23
2024-12-31,MA-SKU-0133,0,Display,0.25
2023-03-07,MA-SKU-0210,0,Bundle,0.14
2023-04-22,MA-SKU-0218,0,Display,0.24
2023-01-13,MA-SKU-0204,0,Bundle,0.29
2024-01-28,MA-SKU-0210,1,Bundle,0.22
2024-05-14,MA-SKU-0276,0,Bundle,0.15
2024-08-20,MA-SKU-0023,0,Discount,0.23
2023-08-22,MA-SKU-0003,1,Discount,0.28
2024-08-24,MA-SKU-0151,0,Display,0.08
2023-11-10,MA-SKU-0258,0,Bundle,0.12
2024-07-19,MA-SKU-0167,1,Discount,0.28
2023-01-12,MA-SKU-0175,0,Bundle,0.29
2023-07-28,MA-SKU-0290,0,Display,0.17
2023-01-14,MA-SKU-0055,0,Discount,0.14
2024-09-24,MA-SKU-0107,0,Display,0.12
2024-02-22,MA-SKU-0295,0,Discount,0.17
2024-03-12,MA-SKU-0140,0,Bundle,0.28
2024-01-12,MA-SKU-0154,0,Display,0.09
2023-01-20,MA-SKU-0261,0,Discount,0.15
2024-08-09,MA-SKU-0272,1,Discount,0.28
2023-03-11,MA-SKU-0231,0,Bundle,0.14
2023-07-30,MA-SKU-0240,1,Display,0.24
2023-04-11,MA-SKU-0257,0,Display,0.15
2024-11-28,MA-SKU-0248,1,Display,0.25
2023-05-12,MA-SKU-0076,0,Bundle,0.3
2024-09-14,MA-SKU-0179,0,Discount,0.15
2024-01-16,MA-SKU-0065,0,Discount,0.26
2023-05-12,MA-SKU-0170,1,Display,0.3
2023-01-20,MA-SKU-0021,0,Discount,0.3
2024-06-19,MA-SKU-0106,0,Display,0.16
2023-08-15,MA-SKU-0226,0,Bundle,0.17
2023-06-03,MA-SKU-0215,1,Bundle,0.13
2024-04-13,MA-SKU-0068,0,Bundle,0.13
2024-02-09,MA-SKU-0083,0,Display,0.17
2023-07-21,MA-SKU-0102,0,Discount,0.1
2023-02-07,MA-SKU-0038,0,Bundle,0.23
2023-07-07,MA-SKU-0012,1,Display,0.18
2023-02-26,MA-SKU-0296,1,Display,0.27
2023-01-20,MA-SKU-0180,0,Bundle,0.25
2023-09-30,MA-SKU-0267,0,Bundle,0.13
2023-04-29,MA-SKU-0012,1,Bundle,0.18
2024-08-05,MA-SKU-0119,0,Discount,0.24
2024-05-30,MA-SKU-0056,1,Discount,0.1
2023-08-09,MA-SKU-0039,0,Display,0.06
2024-06-09,MA-SKU-0127,0,Bundle,0.26
2024-05-29,MA-SKU-0172,0,Bundle,0.08
2024-12-28,MA-SKU-0034,0,Discount,0.27
2023-12-02,MA-SKU-0258,1,Bundle,0.28
2024-11-28,MA-SKU-0004,0,Display,0.17
2023-02-24,MA-SKU-0217,1,Bundle,0.25
2024-05-14,MA-SKU-0010,0,Discount,0.14
2024-06-19,MA-SKU-0116,1,Display,0.26
2023-06-11,MA-SKU-0183,0,Display,0.26
2024-10-31,MA-SKU-0115,1,Bundle,0.07
2024-08-16,MA-SKU-0161,0,Display,0.2
2023-06-08,MA-SKU-0066,1,Bundle,0.21
2023-07-07,MA-SKU-0199,0,Bundle,0.05
2023-03-01,MA-SKU-0030,0,Discount,0.29
2023-11-15,MA-SKU-0074,1,Display,0.15
2023-07-30,MA-SKU-0236,0,Bundle,0.18
2024-02-10,MA-SKU-0065,0,Bundle,0.1
2024-10-25,MA-SKU-0069,0,Bundle,0.2
2023-04-19,MA-SKU-0296,0,Display,0.25
2023-03-17,MA-SKU-0019,0,Display,0.2
2024-06-25,MA-SKU-0225,0,Display,0.25
2023-11-10,MA-SKU-0198,0,Bundle,0.23
2023-04-27,MA-SKU-0038,0,Display,0.11
2024-12-04,MA-SKU-0144,0,Bundle,0.16
2023-01-19,MA-SKU-0044,1,Display,0.09
2024-03-07,MA-SKU-0090,0,Display,0.06
2024-11-15,MA-SKU-0237,0,Bundle,0.07
2023-12-16,MA-SKU-0069,0,Display,0.29
2023-07-02,MA-SKU-0165,0,Bundle,0.3
2023-04-23,MA-SKU-0129,0,Display,0.07
2023-07-02,MA-SKU-0213,0,Display,0.13
2024-04-25,MA-SKU-0088,0,Display,0.08
2023-05-26,MA-SKU-0251,0,Display,0.26
2024-09-19,MA-SKU-0071,0,Discount,0.17
2023-04-23,MA-SKU-0164,1,Bundle,0.21
2024-04-20,MA-SKU-0048,0,Discount,0.18
2023-10-30,MA-SKU-0051,0,Display,0.23
2023-04-28,MA-SKU-0288,0,Display,0.13
2023-06-10,MA-SKU-0277,1,Bundle,0.08
2024-02-05,MA-SKU-0113,1,Bundle,0.05
2023-07-17,MA-SKU-0238,1,Bundle,0.16
2023-09-17,MA-SKU-0132,0,Bundle,0.28
2024-10-21,MA-SKU-0273,0,Display,0.13
2023-02-16,MA-SKU-0165,0,Bundle,0.1
2024-02-03,MA-SKU-0292,1,Discount,0.28
2024-12-10,MA-SKU-0242,1,Bundle,0.08
2024-07-12,MA-SKU-0137,0,Bundle,0.06
2023-03-19,MA-SKU-0078,0,Discount,0.27
2023-05-04,MA-SKU-0169,0,Discount,0.23
2023-03-16,MA-SKU-0122,0,Discount,0.16
2023-05-17,MA-SKU-0175,0,Discount,0.24
2024-08-24,MA-SKU-0299,0,Bundle,0.24
2024-02-04,MA-SKU-0081,0,Discount,0.06
2024-05-19,MA-SKU-0086,0,Display,0.22
2024-05-14,MA-SKU-0224,0,Bundle,0.21
2024-07-26,MA-SKU-0015,0,Display,0.29
2023-05-18,MA-SKU-0162,0,Bundle,0.29
2023-02-19,MA-SKU-0097,0,Bundle,0.14
2024-09-10,MA-SKU-0155,1,Display,0.2
2024-09-16,MA-SKU-0001,1,Discount,0.09
2023-09-11,MA-SKU-0168,0,Discount,0.07
2024-09-21,MA-SKU-0091,0,Display,0.16
2024-12-10,MA-SKU-0180,0,Discount,0.22
2024-07-16,MA-SKU-0230,0,Bundle,0.19
2024-03-01,MA-SKU-0147,1,Bundle,0.16
2024-06-30,MA-SKU-0279,1,Bundle,0.25
2023-10-29,MA-SKU-0188,0,Discount,0.25
2024-08-03,MA-SKU-0127,1,Discount,0.23
2023-12-15,MA-SKU-0006,1,Display,0.07
2023-02-18,MA-SKU-0046,1,Bundle,0.25
2023-03-15,MA-SKU-0052,0,Display,0.28
2024-12-04,MA-SKU-0186,0,Discount,0.06
2023-09-18,MA-SKU-0037,0,Display,0.15
2023-12-22,MA-SKU-0225,0,Discount,0.3
2024-08-04,MA-SKU-0052,0,Bundle,0.2
2024-08-24,MA-SKU-0223,1,Bundle,0.18
2023-09-17,MA-SKU-0153,0,Discount,0.09
2024-09-29,MA-SKU-0047,1,Discount,0.19
2023-10-22,MA-SKU-0146,0,Discount,0.16
2024-10-02,MA-SKU-0063,0,Bundle,0.08
2023-11-09,MA-SKU-0181,1,Discount,0.17
2024-09-03,MA-SKU-0124,0,Bundle,0.09
2023-07-01,MA-SKU-0178,0,Display,0.23
2024-11-16,MA-SKU-0038,1,Bundle,0.29
2023-12-30,MA-SKU-0259,1,Display,0.17
2023-07-07,MA-SKU-0002,0,Bundle,0.21
2024-07-22,MA-SKU-0063,1,Bundle,0.16
2024-06-26,MA-SKU-0028,0,Discount,0.08
2024-08-18,MA-SKU-0010,1,Bundle,0.29
2024-10-25,MA-SKU-0096,1,Discount,0.08
2024-07-01,MA-SKU-0202,0,Discount,0.08
2024-12-25,MA-SKU-0020,0,Discount,0.16
2024-02-12,MA-SKU-0038,0,Bundle,0.21
2024-09-09,MA-SKU-0222,0,Discount,0.14
2024-02-18,MA-SKU-0101,1,Display,0.1
2023-12-08,MA-SKU-0045,0,Display,0.25
2023-08-08,MA-SKU-0065,1,Bundle,0.14
2023-06-12,MA-SKU-0090,1,Discount,0.1
2023-08-08,MA-SKU-0163,1,Display,0.14
2023-09-27,MA-SKU-0110,1,Bundle,0.1
2024-09-23,MA-SKU-0122,0,Bundle,0.18
2024-02-04,MA-SKU-0192,0,Bundle,0.22
2023-07-01,MA-SKU-0098,0,Bundle,0.25
2024-09-09,MA-SKU-0290,0,Bundle,0.11
2024-12-29,MA-SKU-0158,0,Discount,0.09
2023-07-24,MA-SKU-0102,0,Discount,0.05
2024-08-04,MA-SKU-0280,0,Discount,0.11
2024-07-09,MA-SKU-0042,1,Discount,0.06
2023-08-16,MA-SKU-0083,1,Bundle,0.14
2024-11-26,MA-SKU-0190,0,Bundle,0.09
2024-09-10,MA-SKU-0050,0,Display,0.19
2024-08-18,MA-SKU-0209,0,Display,0.15
2023-09-07,MA-SKU-0125,0,Discount,0.07
2024-03-16,MA-SKU-0068,1,Bundle,0.15
2024-06-16,MA-SKU-0264,0,Display,0.1
2023-07-15,MA-SKU-0257,1,Display,0.22
2024-11-20,MA-SKU-0187,0,Display,0.14
2024-06-02,MA-SKU-0229,0,Display,0.09
2023-03-11,MA-SKU-0188,0,Discount,0.14
2024-09-30,MA-SKU-0009,0,Bundle,0.11
2024-02-03,MA-SKU-0113,0,Discount,0.25
2024-11-02,MA-SKU-0075,1,Display,0.3
2023-07-22,MA-SKU-0163,1,Display,0.06
2023-05-28,MA-SKU-0084,0,Bundle,0.22
2024-04-16,MA-SKU-0048,1,Bundle,0.12
2024-10-16,MA-SKU-0176,0,Discount,0.07
2023-07-18,MA-SKU-0217,1,Bundle,0.05
2024-03-01,MA-SKU-0188,0,Discount,0.27
2024-10-27,MA-SKU-0229,1,Discount,0.14
2024-05-06,MA-SKU-0254,0,Display,0.3
2023-05-22,MA-SKU-0235,0,Discount,0.16
2023-11-09,MA-SKU-0025,0,Display,0.1
2023-06-14,MA-SKU-0071,0,Discount,0.24
2023-11-10,MA-SKU-0260,0,Discount,0.28
2023-01-21,MA-SKU-0253,0,Bundle,0.25
2023-03-23,MA-SKU-0270,1,Bundle,0.24
2024-08-03,MA-SKU-0122,1,Display,0.13
2023-05-11,MA-SKU-0143,1,Bundle,0.07
2024-08-21,MA-SKU-0256,1,Discount,0.1
2024-12-30,MA-SKU-0143,1,Display,0.16
2023-11-01,MA-SKU-0258,0,Display,0.29
2024-01-06,MA-SKU-0046,0,Display,0.23
2024-01-19,MA-SKU-0012,1,Discount,0.26
2024-03-20,MA-SKU-0207,1,Bundle,0.12
2024-02-29,MA-SKU-0234,0,Display,0.22
2023-06-10,MA-SKU-0148,0,Discount,0.27
2023-06-27,MA-SKU-0154,0,Bundle,0.17
2024-09-20,MA-SKU-0165,1,Bundle,0.16
2024-12-08,MA-SKU-0089,0,Display,0.23
2024-05-04,MA-SKU-0185,1,Discount,0.19
2023-11-23,MA-SKU-0173,1,Bundle,0.3
2024-08-20,MA-SKU-0216,0,Discount,0.16
2023-10-16,MA-SKU-0263,0,Bundle,0.09
2024-08-15,MA-SKU-0096,0,Display,0.17
2024-10-25,MA-SKU-0116,0,Display,0.11
2024-07-26,MA-SKU-0198,0,Bundle,0.19
2024-07-26,MA-SKU-0020,1,Discount,0.08
2023-12-20,MA-SKU-0199,0,Bundle,0.29
2023-01-28,MA-SKU-0247,0,Discount,0.26
2023-02-12,MA-SKU-0275,0,Bundle,0.09
2024-11-11,MA-SKU-0263,1,Display,0.09
2024-02-27,MA-SKU-0057,0,Discount,0.18
2024-08-20,MA-SKU-0030,1,Display,0.24
2023-06-26,MA-SKU-0248,0,Discount,0.1
2024-06-12,MA-SKU-0092,0,Bundle,0.07
2024-09-01,MA-SKU-0264,0,Display,0.19
2024-05-08,MA-SKU-0270,0,Display,0.22
2023-07-17,MA-SKU-0093,0,Discount,0.11
2024-09-01,MA-SKU-0153,0,Discount,0.23
2024-07-30,MA-SKU-0284,0,Discount,0.29
2024-05-31,MA-SKU-0079,0,Display,0.08
2024-05-28,MA-SKU-0291,0,Bundle,0.18
2023-01-22,MA-SKU-0083,1,Discount,0.06
2023-04-22,MA-SKU-0036,0,Bundle,0.1
2023-02-26,MA-SKU-0231,0,Discount,0.07
2023-03-07,MA-SKU-0092,1,Bundle,0.15
2023-04-08,MA-SKU-0101,1,Discount,0.26
2023-05-24,MA-SKU-0165,1,Bundle,0.19
2024-03-10,MA-SKU-0158,0,Display,0.11
2024-09-28,MA-SKU-0013,1,Discount,0.06
2024-11-09,MA-SKU-0224,0,Discount,0.19
2023-03-27,MA-SKU-0072,0,Display,0.08
2024-08-10,MA-SKU-0248,1,Discount,0.14
2023-12-10,MA-SKU-0090,0,Discount,0.18
2023-10-21,MA-SKU-0215,0,Display,0.28
2024-07-24,MA-SKU-0089,0,Display,0.07
2024-10-11,MA-SKU-0028,1,Bundle,0.22
2024-09-02,MA-SKU-0219,0,Display,0.05
2024-12-04,MA-SKU-0214,0,Display,0.21
2023-08-31,MA-SKU-0220,0,Discount,0.19
2024-07-14,MA-SKU-0041,0,Display,0.25
2023-02-01,MA-SKU-0134,1,Discount,0.18
2024-01-26,MA-SKU-0041,0,Display,0.14
2023-10-04,MA-SKU-0163,0,Display,0.11
2024-06-15,MA-SKU-0282,1,Bundle,0.07
2023-06-03,MA-SKU-0057,0,Display,0.18
2024-01-18,MA-SKU-0024,0,Display,0.27
2023-03-09,MA-SKU-0072,1,Discount,0.18
2023-08-02,MA-SKU-0128,0,Discount,0.23
2024-10-16,MA-SKU-0086,0,Bundle,0.12
2024-01-11,MA-SKU-0152,1,Display,0.16
2023-08-01,MA-SKU-0181,1,Discount,0.13
2023-03-20,MA-SKU-0124,1,Display,0.08
2024-12-26,MA-SKU-0066,1,Bundle,0.15
2024-09-19,MA-SKU-0005,1,Discount,0.24
2024-08-26,MA-SKU-0124,1,Discount,0.15
2024-01-16,MA-SKU-0052,1,Bundle,0.21
2024-11-10,MA-SKU-0065,0,Display,0.24
2023-02-27,MA-SKU-0081,0,Discount,0.13
2023-01-26,MA-SKU-0086,1,Discount,0.25
2024-03-22,MA-SKU-0001,0,Bundle,0.13
2023-03-07,MA-SKU-0203,0,Bundle,0.11
2023-09-11,MA-SKU-0149,0,Bundle,0.11
2023-02-13,MA-SKU-0292,0,Display,0.1
2023-04-07,MA-SKU-0102,0,Display,0.23
2024-07-07,MA-SKU-0023,1,Display,0.27
2023-08-15,MA-SKU-0211,1,Bundle,0.11
2024-11-09,MA-SKU-0064,1,Discount,0.07
2024-03-11,MA-SKU-0208,1,Display,0.13
2024-08-23,MA-SKU-0250,0,Bundle,0.21
2024-01-14,MA-SKU-0116,0,Display,0.14
2023-06-27,MA-SKU-0115,0,Discount,0.19
2024-03-02,MA-SKU-0236,0,Discount,0.24
2024-12-09,MA-SKU-0104,0,Bundle,0.15
2023-11-03,MA-SKU-0258,0,Discount,0.3
2024-05-18,MA-SKU-0045,0,Bundle,0.12
2023-09-25,MA-SKU-0215,0,Bundle,0.29
2024-08-08,MA-SKU-0023,1,Bundle,0.1
2023-01-08,MA-SKU-0034,0,Bundle,0.08
2024-05-22,MA-SKU-0023,0,Discount,0.24
2024-04-20,MA-SKU-0027,0,Discount,0.23
2023-10-24,MA-SKU-0015,0,Discount,0.25
2023-06-13,MA-SKU-0058,0,Discount,0.14
2024-04-29,MA-SKU-0242,0,Bundle,0.28
2024-08-19,MA-SKU-0206,0,Bundle,0.08
2023-03-13,MA-SKU-0270,1,Discount,0.06
2024-07-20,MA-SKU-0248,0,Display,0.13
2024-07-12,MA-SKU-0266,1,Display,0.25
2023-08-26,MA-SKU-0192,1,Display,0.22
2023-04-14,MA-SKU-0217,0,Discount,0.16
