Date,Country,Channel,Brand,SKU,Actual_Units,Forecast_Units
2022-04-07,FR,Retail,NutriBox,NB-MC-001,78,77
2022-04-08,FR,Retail,NutriBox,NB-MC-001,80,73
2022-04-09,FR,Retail,NutriBox,NB-MC-001,75,87
2022-04-10,FR,Retail,NutriBox,NB-MC-001,100,108
2022-04-11,FR,Retail,NutriBox,NB-MC-001,81,99
2022-04-12,FR,Retail,NutriBox,NB-MC-001,102,105
2022-04-13,FR,Retail,NutriBox,NB-MC-001,81,101
2022-04-14,FR,Retail,NutriBox,NB-MC-001,67,71
2022-04-15,FR,Retail,NutriBox,NB-MC-001,87,80
2022-04-16,FR,Retail,NutriBox,NB-MC-001,94,78
2022-04-17,FR,Retail,NutriBox,NB-MC-001,75,66
2022-04-18,FR,Retail,NutriBox,NB-MC-001,48,51
2022-04-19,FR,Retail,NutriBox,NB-MC-001,66,62
2022-04-20,FR,Retail,NutriBox,NB-MC-001,72,85
2022-04-21,FR,Retail,NutriBox,NB-MC-001,68,68
2022-04-22,FR,Retail,NutriBox,NB-MC-001,95,98
2022-04-23,FR,Retail,NutriBox,NB-MC-001,70,64
2022-04-24,FR,Retail,NutriBox,NB-MC-001,73,80
2022-04-25,FR,Retail,NutriBox,NB-MC-001,115,100
2022-04-26,FR,Retail,NutriBox,NB-MC-001,68,69
2022-04-27,FR,Retail,NutriBox,NB-MC-001,45,52
2022-04-28,FR,Retail,NutriBox,NB-MC-001,82,81
2022-04-29,FR,Retail,NutriBox,NB-MC-001,88,78
2022-04-30,FR,Retail,NutriBox,NB-MC-001,73,68
2022-05-01,FR,Retail,NutriBox,NB-MC-001,74,90
2022-05-02,FR,Retail,NutriBox,NB-MC-001,44,46
2022-05-03,FR,Retail,NutriBox,NB-MC-001,77,61
2022-05-04,FR,Retail,NutriBox,NB-MC-001,64,71
2022-05-05,FR,Retail,NutriBox,NB-MC-001,64,73
2022-05-06,FR,Retail,NutriBox,NB-MC-001,99,91
2022-05-07,FR,Retail,NutriBox,NB-MC-001,58,53
2022-05-08,FR,Retail,NutriBox,NB-MC-001,62,61
2022-05-09,FR,Retail,NutriBox,NB-MC-001,38,44
2022-05-10,FR,Retail,NutriBox,NB-MC-001,62,65
2022-05-11,FR,Retail,NutriBox,NB-MC-001,64,61
2022-05-12,FR,Retail,NutriBox,NB-MC-001,72,63
2022-05-13,FR,Retail,NutriBox,NB-MC-001,73,80
2022-05-14,FR,Retail,NutriBox,NB-MC-001,82,75
2022-05-15,FR,Retail,NutriBox,NB-MC-001,80,68
2022-05-16,FR,Retail,NutriBox,NB-MC-001,66,74
2022-05-17,FR,Retail,NutriBox,NB-MC-001,85,87
2022-05-18,FR,Retail,NutriBox,NB-MC-001,45,36
2022-05-19,FR,Retail,NutriBox,NB-MC-001,70,65
2022-05-20,FR,Retail,NutriBox,NB-MC-001,89,85
2022-05-21,FR,Retail,NutriBox,NB-MC-001,104,86
2022-05-22,FR,Retail,NutriBox,NB-MC-001,63,71
2022-05-23,FR,Retail,NutriBox,NB-MC-001,44,42
2022-05-24,FR,Retail,NutriBox,NB-MC-001,78,91
2022-05-25,FR,Retail,NutriBox,NB-MC-001,89,77
2022-05-26,FR,Retail,NutriBox,NB-MC-001,73,70
2022-05-27,FR,Retail,NutriBox,NB-MC-001,62,67
2022-05-28,FR,Retail,NutriBox,NB-MC-001,70,68
2022-05-29,FR,Retail,NutriBox,NB-MC-001,92,87
2022-05-30,FR,Retail,NutriBox,NB-MC-001,53,75
2022-05-31,FR,Retail,NutriBox,NB-MC-001,78,111
2022-06-01,FR,Retail,NutriBox,NB-MC-001,127,105
2022-06-02,FR,Retail,NutriBox,NB-MC-001,90,114
2022-06-03,FR,Retail,NutriBox,NB-MC-001,80,84
2022-06-04,FR,Retail,NutriBox,NB-MC-001,105,123
2022-06-05,FR,Retail,NutriBox,NB-MC-001,113,134
2022-06-06,FR,Retail,NutriBox,NB-MC-001,107,121
2022-06-07,FR,Retail,NutriBox,NB-MC-001,85,112
2022-06-08,FR,Retail,NutriBox,NB-MC-001,75,92
2022-06-09,FR,Retail,NutriBox,NB-MC-001,91,115
2022-06-10,FR,Retail,NutriBox,NB-MC-001,148,137
2022-06-11,FR,Retail,NutriBox,NB-MC-001,106,103
2022-06-12,FR,Retail,NutriBox,NB-MC-001,89,97
2022-06-13,FR,Retail,NutriBox,NB-MC-001,83,72
2022-06-14,FR,Retail,NutriBox,NB-MC-001,129,146
2022-06-15,FR,Retail,NutriBox,NB-MC-001,112,94
2022-06-16,FR,Retail,NutriBox,NB-MC-001,71,71
2022-06-17,FR,Retail,NutriBox,NB-MC-001,80,89
2022-06-18,FR,Retail,NutriBox,NB-MC-001,83,82
2022-06-19,FR,Retail,NutriBox,NB-MC-001,76,74
2022-06-20,FR,Retail,NutriBox,NB-MC-001,140,130
2022-06-21,FR,Retail,NutriBox,NB-MC-001,105,109
2022-06-22,FR,Retail,NutriBox,NB-MC-001,91,90
2022-06-23,FR,Retail,NutriBox,NB-MC-001,65,70
2022-06-24,FR,Retail,NutriBox,NB-MC-001,106,91
2022-06-25,FR,Retail,NutriBox,NB-MC-001,114,108
2022-06-26,FR,Retail,NutriBox,NB-MC-001,94,83
2022-06-27,FR,Retail,NutriBox,NB-MC-001,82,87
2022-06-28,FR,Retail,NutriBox,NB-MC-001,79,66
2022-06-29,FR,Retail,NutriBox,NB-MC-001,93,92
2022-06-30,FR,Retail,NutriBox,NB-MC-001,70,58
2022-07-01,FR,Retail,NutriBox,NB-MC-001,91,106
2022-07-02,FR,Retail,NutriBox,NB-MC-001,115,116
2022-07-03,FR,Retail,NutriBox,NB-MC-001,86,100
2022-07-04,FR,Retail,NutriBox,NB-MC-001,96,95
2022-07-05,FR,Retail,NutriBox,NB-MC-001,77,86
2022-07-06,FR,Retail,NutriBox,NB-MC-001,88,99
2022-07-07,FR,Retail,NutriBox,NB-MC-001,117,108
2022-07-08,FR,Retail,NutriBox,NB-MC-001,50,57
2022-07-09,FR,Retail,NutriBox,NB-MC-001,85,85
2022-07-10,FR,Retail,NutriBox,NB-MC-001,104,117
2022-07-11,FR,Retail,NutriBox,NB-MC-001,96,102
2022-07-12,FR,Retail,NutriBox,NB-MC-001,96,92
2022-07-13,FR,Retail,NutriBox,NB-MC-001,100,106
2022-07-14,FR,Retail,NutriBox,NB-MC-001,117,99
2022-07-15,FR,Retail,NutriBox,NB-MC-001,96,93
2022-07-16,FR,Retail,NutriBox,NB-MC-001,97,87
2022-07-17,FR,Retail,NutriBox,NB-MC-001,88,85
2022-07-18,FR,Retail,NutriBox,NB-MC-001,110,84
2022-07-19,FR,Retail,NutriBox,NB-MC-001,60,57
2022-07-20,FR,Retail,NutriBox,NB-MC-001,30,50
2022-07-21,FR,Retail,NutriBox,NB-MC-001,103,96
2022-07-22,FR,Retail,NutriBox,NB-MC-001,79,93
2022-07-23,FR,Retail,NutriBox,NB-MC-001,83,83
2022-07-24,FR,Retail,NutriBox,NB-MC-001,63,77
2022-07-25,FR,Retail,NutriBox,NB-MC-001,74,79
2022-07-26,FR,Retail,NutriBox,NB-MC-001,119,106
2022-07-27,FR,Retail,NutriBox,NB-MC-001,103,101
2022-07-28,FR,Retail,NutriBox,NB-MC-001,102,107
2022-07-29,FR,Retail,NutriBox,NB-MC-001,80,92
2022-07-30,FR,Retail,NutriBox,NB-MC-001,62,61
2022-07-31,FR,Retail,NutriBox,NB-MC-001,80,82
2022-08-01,FR,Retail,NutriBox,NB-MC-001,71,66
2022-08-02,FR,Retail,NutriBox,NB-MC-001,80,81
2022-08-03,FR,Retail,NutriBox,NB-MC-001,95,110
2022-08-04,FR,Retail,NutriBox,NB-MC-001,74,90
2022-08-05,FR,Retail,NutriBox,NB-MC-001,166,165
2022-08-06,FR,Retail,NutriBox,NB-MC-001,105,98
2022-08-07,FR,Retail,NutriBox,NB-MC-001,90,100
2022-08-08,FR,Retail,NutriBox,NB-MC-001,121,115
2022-08-09,FR,Retail,NutriBox,NB-MC-001,91,114
2022-08-10,FR,Retail,NutriBox,NB-MC-001,113,107
2022-08-11,FR,Retail,NutriBox,NB-MC-001,69,89
2022-08-12,FR,Retail,NutriBox,NB-MC-001,127,125
2022-08-13,FR,Retail,NutriBox,NB-MC-001,61,62
2022-08-14,FR,Retail,NutriBox,NB-MC-001,81,93
2022-08-15,FR,Retail,NutriBox,NB-MC-001,76,83
2022-08-16,FR,Retail,NutriBox,NB-MC-001,110,91
2022-08-17,FR,Retail,NutriBox,NB-MC-001,148,142
2022-08-18,FR,Retail,NutriBox,NB-MC-001,97,98
2022-08-19,FR,Retail,NutriBox,NB-MC-001,105,111
2022-08-20,FR,Retail,NutriBox,NB-MC-001,125,126
2022-08-21,FR,Retail,NutriBox,NB-MC-001,80,98
2022-08-22,FR,Retail,NutriBox,NB-MC-001,71,84
2022-08-23,FR,Retail,NutriBox,NB-MC-001,78,93
2022-08-24,FR,Retail,NutriBox,NB-MC-001,86,87
2022-08-25,FR,Retail,NutriBox,NB-MC-001,84,96
2022-08-26,FR,Retail,NutriBox,NB-MC-001,70,66
2022-08-27,FR,Retail,NutriBox,NB-MC-001,95,95
2022-08-28,FR,Retail,NutriBox,NB-MC-001,99,95
2022-08-29,FR,Retail,NutriBox,NB-MC-001,88,85
2022-08-30,FR,Retail,NutriBox,NB-MC-001,49,66
2022-08-31,FR,Retail,NutriBox,NB-MC-001,93,85
2022-09-01,FR,Retail,NutriBox,NB-MC-001,79,78
2022-09-02,FR,Retail,NutriBox,NB-MC-001,89,89
2022-09-03,FR,Retail,NutriBox,NB-MC-001,72,72
2022-09-04,FR,Retail,NutriBox,NB-MC-001,66,71
2022-09-05,FR,Retail,NutriBox,NB-MC-001,66,63
2022-09-06,FR,Retail,NutriBox,NB-MC-001,77,78
2022-09-07,FR,Retail,NutriBox,NB-MC-001,86,77
2022-09-08,FR,Retail,NutriBox,NB-MC-001,98,106
2022-09-09,FR,Retail,NutriBox,NB-MC-001,133,99
2022-09-10,FR,Retail,NutriBox,NB-MC-001,85,78
2022-09-11,FR,Retail,NutriBox,NB-MC-001,97,109
2022-09-12,FR,Retail,NutriBox,NB-MC-001,89,80
2022-09-13,FR,Retail,NutriBox,NB-MC-001,98,80
2022-09-14,FR,Retail,NutriBox,NB-MC-001,54,48
2022-09-15,FR,Retail,NutriBox,NB-MC-001,86,87
2022-09-16,FR,Retail,NutriBox,NB-MC-001,82,67
2022-09-17,FR,Retail,NutriBox,NB-MC-001,78,82
2022-09-18,FR,Retail,NutriBox,NB-MC-001,89,86
2022-09-19,FR,Retail,NutriBox,NB-MC-001,54,61
2022-09-20,FR,Retail,NutriBox,NB-MC-001,92,89
2022-09-21,FR,Retail,NutriBox,NB-MC-001,122,104
2022-09-22,FR,Retail,NutriBox,NB-MC-001,79,76
2022-09-23,FR,Retail,NutriBox,NB-MC-001,70,64
2022-09-24,FR,Retail,NutriBox,NB-MC-001,82,82
2022-09-25,FR,Retail,NutriBox,NB-MC-001,86,91
2022-09-26,FR,Retail,NutriBox,NB-MC-001,76,80
2022-09-27,FR,Retail,NutriBox,NB-MC-001,82,66
2022-09-28,FR,Retail,NutriBox,NB-MC-001,88,101
2022-09-29,FR,Retail,NutriBox,NB-MC-001,112,119
2022-09-30,FR,Retail,NutriBox,NB-MC-001,93,97
2022-10-01,FR,Retail,NutriBox,NB-MC-001,82,92
2022-10-02,FR,Retail,NutriBox,NB-MC-001,87,87
2022-10-03,FR,Retail,NutriBox,NB-MC-001,99,99
2022-10-04,FR,Retail,NutriBox,NB-MC-001,91,113
2022-10-05,FR,Retail,NutriBox,NB-MC-001,95,95
2022-10-06,FR,Retail,NutriBox,NB-MC-001,90,98
2022-10-07,FR,Retail,NutriBox,NB-MC-001,78,72
2022-10-08,FR,Retail,NutriBox,NB-MC-001,82,71
2022-10-09,FR,Retail,NutriBox,NB-MC-001,86,92
2022-10-10,FR,Retail,NutriBox,NB-MC-001,61,53
2022-10-11,FR,Retail,NutriBox,NB-MC-001,83,81
2022-10-12,FR,Retail,NutriBox,NB-MC-001,67,85
2022-10-13,FR,Retail,NutriBox,NB-MC-001,79,77
2022-10-14,FR,Retail,NutriBox,NB-MC-001,51,66
2022-10-15,FR,Retail,NutriBox,NB-MC-001,65,65
2022-10-16,FR,Retail,NutriBox,NB-MC-001,80,80
2022-10-17,FR,Retail,NutriBox,NB-MC-001,92,75
2022-10-18,FR,Retail,NutriBox,NB-MC-001,105,107
2022-10-19,FR,Retail,NutriBox,NB-MC-001,46,50
2022-10-20,FR,Retail,NutriBox,NB-MC-001,106,94
2022-10-21,FR,Retail,NutriBox,NB-MC-001,105,80
2022-10-22,FR,Retail,NutriBox,NB-MC-001,116,84
2022-10-23,FR,Retail,NutriBox,NB-MC-001,84,100
2022-10-24,FR,Retail,NutriBox,NB-MC-001,93,94
2022-10-25,FR,Retail,NutriBox,NB-MC-001,101,79
2022-10-26,FR,Retail,NutriBox,NB-MC-001,78,71
2022-10-27,FR,Retail,NutriBox,NB-MC-001,115,94
2022-10-28,FR,Retail,NutriBox,NB-MC-001,77,85
2022-10-29,FR,Retail,NutriBox,NB-MC-001,80,67
2022-10-30,FR,Retail,NutriBox,NB-MC-001,69,69
2022-10-31,FR,Retail,NutriBox,NB-MC-001,84,81
2022-11-01,FR,Retail,NutriBox,NB-MC-001,83,81
2022-11-02,FR,Retail,NutriBox,NB-MC-001,79,83
2022-11-03,FR,Retail,NutriBox,NB-MC-001,106,71
2022-11-04,FR,Retail,NutriBox,NB-MC-001,79,94
2022-11-05,FR,Retail,NutriBox,NB-MC-001,62,59
2022-11-06,FR,Retail,NutriBox,NB-MC-001,82,75
2022-11-07,FR,Retail,NutriBox,NB-MC-001,101,106
2022-11-08,FR,Retail,NutriBox,NB-MC-001,58,77
2022-11-09,FR,Retail,NutriBox,NB-MC-001,69,74
2022-11-10,FR,Retail,NutriBox,NB-MC-001,58,62
2022-11-11,FR,Retail,NutriBox,NB-MC-001,106,112
2022-11-12,FR,Retail,NutriBox,NB-MC-001,85,84
2022-11-13,FR,Retail,NutriBox,NB-MC-001,73,70
2022-11-14,FR,Retail,NutriBox,NB-MC-001,67,75
2022-11-15,FR,Retail,NutriBox,NB-MC-001,72,75
2022-11-16,FR,Retail,NutriBox,NB-MC-001,66,83
2022-11-17,FR,Retail,NutriBox,NB-MC-001,71,66
2022-11-18,FR,Retail,NutriBox,NB-MC-001,94,95
2022-11-19,FR,Retail,NutriBox,NB-MC-001,63,60
2022-11-20,FR,Retail,NutriBox,NB-MC-001,129,110
2022-11-21,FR,Retail,NutriBox,NB-MC-001,70,71
2022-11-22,FR,Retail,NutriBox,NB-MC-001,64,70
2022-11-23,FR,Retail,NutriBox,NB-MC-001,63,62
2022-11-24,FR,Retail,NutriBox,NB-MC-001,81,84
2022-11-25,FR,Retail,NutriBox,NB-MC-001,71,94
2022-11-26,FR,Retail,NutriBox,NB-MC-001,69,73
2022-11-27,FR,Retail,NutriBox,NB-MC-001,70,70
2022-11-28,FR,Retail,NutriBox,NB-MC-001,100,86
2022-11-29,FR,Retail,NutriBox,NB-MC-001,111,101
2022-11-30,FR,Retail,NutriBox,NB-MC-001,72,74
2022-12-01,FR,Retail,NutriBox,NB-MC-001,116,130
2022-12-02,FR,Retail,NutriBox,NB-MC-001,95,102
2022-12-03,FR,Retail,NutriBox,NB-MC-001,105,116
2022-12-04,FR,Retail,NutriBox,NB-MC-001,115,127
2022-12-05,FR,Retail,NutriBox,NB-MC-001,106,114
2022-12-06,FR,Retail,NutriBox,NB-MC-001,117,118
2022-12-07,FR,Retail,NutriBox,NB-MC-001,128,130
2022-12-08,FR,Retail,NutriBox,NB-MC-001,100,98
2022-12-09,FR,Retail,NutriBox,NB-MC-001,133,123
2022-12-10,FR,Retail,NutriBox,NB-MC-001,92,114
2022-12-11,FR,Retail,NutriBox,NB-MC-001,94,86
2022-12-12,FR,Retail,NutriBox,NB-MC-001,97,114
2022-12-13,FR,Retail,NutriBox,NB-MC-001,110,112
2022-12-14,FR,Retail,NutriBox,NB-MC-001,113,128
2022-12-15,FR,Retail,NutriBox,NB-MC-001,112,132
2022-12-16,FR,Retail,NutriBox,NB-MC-001,107,108
2022-12-17,FR,Retail,NutriBox,NB-MC-001,117,109
2022-12-18,FR,Retail,NutriBox,NB-MC-001,123,134
2022-12-19,FR,Retail,NutriBox,NB-MC-001,105,100
2022-12-20,FR,Retail,NutriBox,NB-MC-001,101,104
2022-12-21,FR,Retail,NutriBox,NB-MC-001,108,101
2022-12-22,FR,Retail,NutriBox,NB-MC-001,103,107
2022-12-23,FR,Retail,NutriBox,NB-MC-001,128,134
2022-12-24,FR,Retail,NutriBox,NB-MC-001,88,113
2022-12-25,FR,Retail,NutriBox,NB-MC-001,66,71
2022-12-26,FR,Retail,NutriBox,NB-MC-001,99,100
2022-12-27,FR,Retail,NutriBox,NB-MC-001,115,117
2022-12-28,FR,Retail,NutriBox,NB-MC-001,66,61
2022-12-29,FR,Retail,NutriBox,NB-MC-001,114,108
2022-12-30,FR,Retail,NutriBox,NB-MC-001,71,65
2022-12-31,FR,Retail,NutriBox,NB-MC-001,104,107
2023-01-01,FR,Retail,NutriBox,NB-MC-001,83,91
2023-01-02,FR,Retail,NutriBox,NB-MC-001,79,90
2023-01-03,FR,Retail,NutriBox,NB-MC-001,73,63
2023-01-04,FR,Retail,NutriBox,NB-MC-001,75,92
2023-01-05,FR,Retail,NutriBox,NB-MC-001,59,80
2023-01-06,FR,Retail,NutriBox,NB-MC-001,60,73
2023-01-07,FR,Retail,NutriBox,NB-MC-001,82,86
2023-01-08,FR,Retail,NutriBox,NB-MC-001,79,82
2023-01-09,FR,Retail,NutriBox,NB-MC-001,78,87
2023-01-10,FR,Retail,NutriBox,NB-MC-001,79,86
2023-01-11,FR,Retail,NutriBox,NB-MC-001,66,81
2023-01-12,FR,Retail,NutriBox,NB-MC-001,70,59
2023-01-13,FR,Retail,NutriBox,NB-MC-001,73,70
2023-01-14,FR,Retail,NutriBox,NB-MC-001,82,74
2023-01-15,FR,Retail,NutriBox,NB-MC-001,62,83
2023-01-16,FR,Retail,NutriBox,NB-MC-001,63,65
2023-01-17,FR,Retail,NutriBox,NB-MC-001,76,72
2023-01-18,FR,Retail,NutriBox,NB-MC-001,74,64
2023-01-19,FR,Retail,NutriBox,NB-MC-001,63,63
2023-01-20,FR,Retail,NutriBox,NB-MC-001,84,71
2023-01-21,FR,Retail,NutriBox,NB-MC-001,99,101
2023-01-22,FR,Retail,NutriBox,NB-MC-001,65,85
2023-01-23,FR,Retail,NutriBox,NB-MC-001,63,76
2023-01-24,FR,Retail,NutriBox,NB-MC-001,55,52
2023-01-25,FR,Retail,NutriBox,NB-MC-001,71,76
2023-01-26,FR,Retail,NutriBox,NB-MC-001,96,87
2023-01-27,FR,Retail,NutriBox,NB-MC-001,80,79
2023-01-28,FR,Retail,NutriBox,NB-MC-001,91,88
2023-01-29,FR,Retail,NutriBox,NB-MC-001,96,89
2023-01-30,FR,Retail,NutriBox,NB-MC-001,76,83
2023-01-31,FR,Retail,NutriBox,NB-MC-001,94,77
2023-02-01,FR,Retail,NutriBox,NB-MC-001,66,74
2023-02-02,FR,Retail,NutriBox,NB-MC-001,84,67
2023-02-03,FR,Retail,NutriBox,NB-MC-001,63,70
2023-02-04,FR,Retail,NutriBox,NB-MC-001,75,61
2023-02-05,FR,Retail,NutriBox,NB-MC-001,85,82
2023-02-06,FR,Retail,NutriBox,NB-MC-001,61,65
2023-02-07,FR,Retail,NutriBox,NB-MC-001,66,63
2023-02-08,FR,Retail,NutriBox,NB-MC-001,97,93
2023-02-09,FR,Retail,NutriBox,NB-MC-001,99,99
2023-02-10,FR,Retail,NutriBox,NB-MC-001,77,86
2023-02-11,FR,Retail,NutriBox,NB-MC-001,68,63
2023-02-12,FR,Retail,NutriBox,NB-MC-001,92,99
2023-02-13,FR,Retail,NutriBox,NB-MC-001,95,90
2023-02-14,FR,Retail,NutriBox,NB-MC-001,113,96
2023-02-15,FR,Retail,NutriBox,NB-MC-001,72,95
2023-02-16,FR,Retail,NutriBox,NB-MC-001,101,108
2023-02-17,FR,Retail,NutriBox,NB-MC-001,77,64
2023-02-18,FR,Retail,NutriBox,NB-MC-001,71,70
2023-02-19,FR,Retail,NutriBox,NB-MC-001,76,85
2023-02-20,FR,Retail,NutriBox,NB-MC-001,71,70
2023-02-21,FR,Retail,NutriBox,NB-MC-001,92,107
2023-02-22,FR,Retail,NutriBox,NB-MC-001,80,92
2023-02-23,FR,Retail,NutriBox,NB-MC-001,84,83
2023-02-24,FR,Retail,NutriBox,NB-MC-001,65,68
2023-02-25,FR,Retail,NutriBox,NB-MC-001,109,95
2023-02-26,FR,Retail,NutriBox,NB-MC-001,79,71
2023-02-27,FR,Retail,NutriBox,NB-MC-001,50,61
2023-02-28,FR,Retail,NutriBox,NB-MC-001,67,75
2023-03-01,FR,Retail,NutriBox,NB-MC-001,77,82
2023-03-02,FR,Retail,NutriBox,NB-MC-001,96,83
2023-03-03,FR,Retail,NutriBox,NB-MC-001,52,72
2023-03-04,FR,Retail,NutriBox,NB-MC-001,92,79
2023-03-05,FR,Retail,NutriBox,NB-MC-001,86,94
2023-03-06,FR,Retail,NutriBox,NB-MC-001,79,83
2023-03-07,FR,Retail,NutriBox,NB-MC-001,72,71
2023-03-08,FR,Retail,NutriBox,NB-MC-001,98,81
2023-03-09,FR,Retail,NutriBox,NB-MC-001,59,67
2023-03-10,FR,Retail,NutriBox,NB-MC-001,26,43
2023-03-11,FR,Retail,NutriBox,NB-MC-001,64,65
