Date,Country,Region,SKU,Stakeholder,Forecast_Units,Actual_Units,Consensus_Units,Forecast_Error
2023-12-01,USA,East,VM_US_001,Sales,1321,1558,1589,-237
2023-12-01,USA,East,VM_US_001,Marketing,1470,1558,1589,-88
2023-12-01,USA,East,VM_US_001,Finance,1807,1558,1589,249
2023-12-01,USA,East,VM_US_001,System,1758,1558,1589,200
2024-01-01,USA,East,VM_US_001,Sales,1659,1796,1670,-137
2024-01-01,USA,East,VM_US_001,Marketing,1755,1796,1670,-41
2024-01-01,USA,East,VM_US_001,Finance,1673,1796,1670,-123
2024-01-01,USA,East,VM_US_001,System,1593,1796,1670,-203
2024-02-01,USA,East,VM_US_001,Sales,1578,1910,1695,-332
2024-02-01,USA,East,VM_US_001,Marketing,1475,1910,1695,-435
2024-02-01,USA,East,VM_US_001,Finance,1862,1910,1695,-48
2024-02-01,USA,East,VM_US_001,System,1866,1910,1695,-44
2024-03-01,USA,East,VM_US_001,Sales,1750,1242,1563,508
2024-03-01,USA,East,VM_US_001,Marketing,1227,1242,1563,-15
2024-03-01,USA,East,VM_US_001,Finance,1834,1242,1563,592
2024-03-01,USA,East,VM_US_001,System,1443,1242,1563,201
2024-04-01,USA,East,VM_US_001,Sales,1506,1817,1530,-311
2024-04-01,USA,East,VM_US_001,Marketing,1690,1817,1530,-127
2024-04-01,USA,East,VM_US_001,Finance,1356,1817,1530,-461
2024-04-01,USA,East,VM_US_001,System,1571,1817,1530,-246
2024-05-01,USA,East,VM_US_001,Sales,1813,1611,1803,202
2024-05-01,USA,East,VM_US_001,Marketing,1976,1611,1803,365
2024-05-01,USA,East,VM_US_001,Finance,1739,1611,1803,128
2024-05-01,USA,East,VM_US_001,System,1684,1611,1803,73
2024-06-01,USA,East,VM_US_001,Sales,1349,1375,1602,-26
2024-06-01,USA,East,VM_US_001,Marketing,1663,1375,1602,288
2024-06-01,USA,East,VM_US_001,Finance,1652,1375,1602,277
2024-06-01,USA,East,VM_US_001,System,1744,1375,1602,369
2024-07-01,USA,East,VM_US_001,Sales,1696,1797,1610,-101
2024-07-01,USA,East,VM_US_001,Marketing,1339,1797,1610,-458
2024-07-01,USA,East,VM_US_001,Finance,1800,1797,1610,3
2024-07-01,USA,East,VM_US_001,System,1605,1797,1610,-192
2024-08-01,USA,East,VM_US_001,Sales,1545,1392,1557,153
2024-08-01,USA,East,VM_US_001,Marketing,1353,1392,1557,-39
2024-08-01,USA,East,VM_US_001,Finance,1558,1392,1557,166
2024-08-01,USA,East,VM_US_001,System,1772,1392,1557,380
2024-09-01,USA,East,VM_US_001,Sales,1457,1546,1527,-89
2024-09-01,USA,East,VM_US_001,Marketing,1575,1546,1527,29
2024-09-01,USA,East,VM_US_001,Finance,1715,1546,1527,169
2024-09-01,USA,East,VM_US_001,System,1362,1546,1527,-184
2024-10-01,USA,East,VM_US_001,Sales,1650,1377,1658,273
2024-10-01,USA,East,VM_US_001,Marketing,1382,1377,1658,5
2024-10-01,USA,East,VM_US_001,Finance,2005,1377,1658,628
2024-10-01,USA,East,VM_US_001,System,1596,1377,1658,219
2024-11-01,USA,East,VM_US_001,Sales,1466,1404,1432,62
2024-11-01,USA,East,VM_US_001,Marketing,1531,1404,1432,127
2024-11-01,USA,East,VM_US_001,Finance,1514,1404,1432,110
2024-11-01,USA,East,VM_US_001,System,1217,1404,1432,-187
2024-12-01,USA,East,VM_US_001,Sales,1622,1934,1611,-312
2024-12-01,USA,East,VM_US_001,Marketing,1620,1934,1611,-314
2024-12-01,USA,East,VM_US_001,Finance,1785,1934,1611,-149
2024-12-01,USA,East,VM_US_001,System,1420,1934,1611,-514
2023-01-01,USA,East,VM_US_002,Sales,1682,1602,1795,80
2023-01-01,USA,East,VM_US_002,Marketing,1933,1602,1795,331
2023-01-01,USA,East,VM_US_002,Finance,1810,1602,1795,208
2023-01-01,USA,East,VM_US_002,System,1758,1602,1795,156
2023-02-01,USA,East,VM_US_002,Sales,2019,1911,1865,108
2023-02-01,USA,East,VM_US_002,Marketing,1850,1911,1865,-61
2023-02-01,USA,East,VM_US_002,Finance,1778,1911,1865,-133
2023-02-01,USA,East,VM_US_002,System,1813,1911,1865,-98
2023-03-01,USA,East,VM_US_002,Sales,1908,2007,1842,-99
2023-03-01,USA,East,VM_US_002,Marketing,2085,2007,1842,78
2023-03-01,USA,East,VM_US_002,Finance,1646,2007,1842,-361
2023-03-01,USA,East,VM_US_002,System,1732,2007,1842,-275
2023-04-01,USA,East,VM_US_002,Sales,1726,2131,2103,-405
2023-04-01,USA,East,VM_US_002,Marketing,2227,2131,2103,96
2023-04-01,USA,East,VM_US_002,Finance,2232,2131,2103,101
2023-04-01,USA,East,VM_US_002,System,2229,2131,2103,98
2023-05-01,USA,East,VM_US_002,Sales,1927,1657,2036,270
2023-05-01,USA,East,VM_US_002,Marketing,1796,1657,2036,139
2023-05-01,USA,East,VM_US_002,Finance,2121,1657,2036,464
2023-05-01,USA,East,VM_US_002,System,2301,1657,2036,644
2023-06-01,USA,East,VM_US_002,Sales,1912,2160,1856,-248
2023-06-01,USA,East,VM_US_002,Marketing,1826,2160,1856,-334
2023-06-01,USA,East,VM_US_002,Finance,2058,2160,1856,-102
2023-06-01,USA,East,VM_US_002,System,1629,2160,1856,-531
2023-07-01,USA,East,VM_US_002,Sales,1700,2063,1861,-363
2023-07-01,USA,East,VM_US_002,Marketing,2052,2063,1861,-11
2023-07-01,USA,East,VM_US_002,Finance,1873,2063,1861,-190
2023-07-01,USA,East,VM_US_002,System,1821,2063,1861,-242
2023-08-01,USA,East,VM_US_002,Sales,1828,1656,2011,172
2023-08-01,USA,East,VM_US_002,Marketing,2037,1656,2011,381
2023-08-01,USA,East,VM_US_002,Finance,2149,1656,2011,493
2023-08-01,USA,East,VM_US_002,System,2030,1656,2011,374
2023-09-01,USA,East,VM_US_002,Sales,2491,2300,1941,191
2023-09-01,USA,East,VM_US_002,Marketing,1835,2300,1941,-465
2023-09-01,USA,East,VM_US_002,Finance,1862,2300,1941,-438
2023-09-01,USA,East,VM_US_002,System,1579,2300,1941,-721
2023-10-01,USA,East,VM_US_002,Sales,2207,2251,2039,-44
2023-10-01,USA,East,VM_US_002,Marketing,1711,2251,2039,-540
2023-10-01,USA,East,VM_US_002,Finance,2051,2251,2039,-200
2023-10-01,USA,East,VM_US_002,System,2188,2251,2039,-63
2023-11-01,USA,East,VM_US_002,Sales,2104,1974,1958,130
2023-11-01,USA,East,VM_US_002,Marketing,1950,1974,1958,-24
2023-11-01,USA,East,VM_US_002,Finance,1631,1974,1958,-343
2023-11-01,USA,East,VM_US_002,System,2150,1974,1958,176
2023-12-01,USA,East,VM_US_002,Sales,2078,2289,1789,-211
2023-12-01,USA,East,VM_US_002,Marketing,1691,2289,1789,-598
2023-12-01,USA,East,VM_US_002,Finance,1737,2289,1789,-552
2023-12-01,USA,East,VM_US_002,System,1650,2289,1789,-639
2024-01-01,USA,East,VM_US_002,Sales,2200,2130,2010,70
2024-01-01,USA,East,VM_US_002,Marketing,2007,2130,2010,-123
2024-01-01,USA,East,VM_US_002,Finance,2125,2130,2010,-5
2024-01-01,USA,East,VM_US_002,System,1711,2130,2010,-419
2024-02-01,USA,East,VM_US_002,Sales,1596,1951,1823,-355
2024-02-01,USA,East,VM_US_002,Marketing,1733,1951,1823,-218
2024-02-01,USA,East,VM_US_002,Finance,2111,1951,1823,160
2024-02-01,USA,East,VM_US_002,System,1855,1951,1823,-96
2024-03-01,USA,East,VM_US_002,Sales,2033,2256,2021,-223
2024-03-01,USA,East,VM_US_002,Marketing,2536,2256,2021,280
2024-03-01,USA,East,VM_US_002,Finance,1931,2256,2021,-325
2024-03-01,USA,East,VM_US_002,System,1587,2256,2021,-669
2024-04-01,USA,East,VM_US_002,Sales,1689,1900,1904,-211
2024-04-01,USA,East,VM_US_002,Marketing,2133,1900,1904,233
2024-04-01,USA,East,VM_US_002,Finance,1919,1900,1904,19
2024-04-01,USA,East,VM_US_002,System,1878,1900,1904,-22
2024-05-01,USA,East,VM_US_002,Sales,2079,1874,2030,205
2024-05-01,USA,East,VM_US_002,Marketing,1806,1874,2030,-68
2024-05-01,USA,East,VM_US_002,Finance,2088,1874,2030,214
2024-05-01,USA,East,VM_US_002,System,2149,1874,2030,275
2024-06-01,USA,East,VM_US_002,Sales,1697,1811,1873,-114
2024-06-01,USA,East,VM_US_002,Marketing,1792,1811,1873,-19
2024-06-01,USA,East,VM_US_002,Finance,2072,1811,1873,261
2024-06-01,USA,East,VM_US_002,System,1931,1811,1873,120
2024-07-01,USA,East,VM_US_002,Sales,2314,2090,2038,224
2024-07-01,USA,East,VM_US_002,Marketing,1962,2090,2038,-128
2024-07-01,USA,East,VM_US_002,Finance,1724,2090,2038,-366
2024-07-01,USA,East,VM_US_002,System,2152,2090,2038,62
2024-08-01,USA,East,VM_US_002,Sales,2109,1924,2044,185
2024-08-01,USA,East,VM_US_002,Marketing,2154,1924,2044,230
2024-08-01,USA,East,VM_US_002,Finance,1690,1924,2044,-234
2024-08-01,USA,East,VM_US_002,System,2226,1924,2044,302
2024-09-01,USA,East,VM_US_002,Sales,1771,2169,1908,-398
2024-09-01,USA,East,VM_US_002,Marketing,1979,2169,1908,-190
2024-09-01,USA,East,VM_US_002,Finance,1968,2169,1908,-201
2024-09-01,USA,East,VM_US_002,System,1915,2169,1908,-254
2024-10-01,USA,East,VM_US_002,Sales,2239,2159,2125,80
2024-10-01,USA,East,VM_US_002,Marketing,1911,2159,2125,-248
2024-10-01,USA,East,VM_US_002,Finance,2215,2159,2125,56
2024-10-01,USA,East,VM_US_002,System,2136,2159,2125,-23
2024-11-01,USA,East,VM_US_002,Sales,1950,1976,1777,-26
2024-11-01,USA,East,VM_US_002,Marketing,1645,1976,1777,-331
2024-11-01,USA,East,VM_US_002,Finance,1566,1976,1777,-410
2024-11-01,USA,East,VM_US_002,System,1947,1976,1777,-29
2024-12-01,USA,East,VM_US_002,Sales,1900,1664,1794,236
2024-12-01,USA,East,VM_US_002,Marketing,1787,1664,1794,123
2024-12-01,USA,East,VM_US_002,Finance,1500,1664,1794,-164
2024-12-01,USA,East,VM_US_002,System,1991,1664,1794,327
2023-01-01,USA,East,VM_US_003,Sales,871,762,775,109
2023-01-01,USA,East,VM_US_003,Marketing,618,762,775,-144
2023-01-01,USA,East,VM_US_003,Finance,854,762,775,92
2023-01-01,USA,East,VM_US_003,System,760,762,775,-2
2023-02-01,USA,East,VM_US_003,Sales,808,907,825,-99
2023-02-01,USA,East,VM_US_003,Marketing,863,907,825,-44
2023-02-01,USA,East,VM_US_003,Finance,774,907,825,-133
2023-02-01,USA,East,VM_US_003,System,855,907,825,-52
2023-03-01,USA,East,VM_US_003,Sales,740,1015,818,-275
2023-03-01,USA,East,VM_US_003,Marketing,802,1015,818,-213
2023-03-01,USA,East,VM_US_003,Finance,765,1015,818,-250
2023-03-01,USA,East,VM_US_003,System,968,1015,818,-47
2023-04-01,USA,East,VM_US_003,Sales,741,760,757,-19
2023-04-01,USA,East,VM_US_003,Marketing,756,760,757,-4
2023-04-01,USA,East,VM_US_003,Finance,799,760,757,39
2023-04-01,USA,East,VM_US_003,System,735,760,757,-25
2023-05-01,USA,East,VM_US_003,Sales,828,768,826,60
2023-05-01,USA,East,VM_US_003,Marketing,801,768,826,33
2023-05-01,USA,East,VM_US_003,Finance,894,768,826,126
2023-05-01,USA,East,VM_US_003,System,781,768,826,13
2023-06-01,USA,East,VM_US_003,Sales,839,788,901,51
2023-06-01,USA,East,VM_US_003,Marketing,1032,788,901,244
2023-06-01,USA,East,VM_US_003,Finance,736,788,901,-52
2023-06-01,USA,East,VM_US_003,System,1000,788,901,212
2023-07-01,USA,East,VM_US_003,Sales,835,668,807,167
2023-07-01,USA,East,VM_US_003,Marketing,779,668,807,111
2023-07-01,USA,East,VM_US_003,Finance,733,668,807,65
2023-07-01,USA,East,VM_US_003,System,881,668,807,213
2023-08-01,USA,East,VM_US_003,Sales,766,886,743,-120
2023-08-01,USA,East,VM_US_003,Marketing,608,886,743,-278
2023-08-01,USA,East,VM_US_003,Finance,772,886,743,-114
2023-08-01,USA,East,VM_US_003,System,826,886,743,-60
2023-09-01,USA,East,VM_US_003,Sales,886,813,902,73
2023-09-01,USA,East,VM_US_003,Marketing,1001,813,902,188
2023-09-01,USA,East,VM_US_003,Finance,853,813,902,40
2023-09-01,USA,East,VM_US_003,System,868,813,902,55
2023-10-01,USA,East,VM_US_003,Sales,927,831,916,96
2023-10-01,USA,East,VM_US_003,Marketing,864,831,916,33
2023-10-01,USA,East,VM_US_003,Finance,886,831,916,55
2023-10-01,USA,East,VM_US_003,System,989,831,916,158
2023-11-01,USA,East,VM_US_003,Sales,786,840,856,-54
2023-11-01,USA,East,VM_US_003,Marketing,856,840,856,16
2023-11-01,USA,East,VM_US_003,Finance,923,840,856,83
2023-11-01,USA,East,VM_US_003,System,861,840,856,21
2023-12-01,USA,East,VM_US_003,Sales,747,942,730,-195
2023-12-01,USA,East,VM_US_003,Marketing,728,942,730,-214
2023-12-01,USA,East,VM_US_003,Finance,759,942,730,-183
2023-12-01,USA,East,VM_US_003,System,689,942,730,-253
2024-01-01,USA,East,VM_US_003,Sales,771,826,838,-55
2024-01-01,USA,East,VM_US_003,Marketing,933,826,838,107
2024-01-01,USA,East,VM_US_003,Finance,687,826,838,-139
2024-01-01,USA,East,VM_US_003,System,964,826,838,138
2024-02-01,USA,East,VM_US_003,Sales,692,693,809,-1
2024-02-01,USA,East,VM_US_003,Marketing,732,693,809,39
2024-02-01,USA,East,VM_US_003,Finance,1003,693,809,310
2024-02-01,USA,East,VM_US_003,System,809,693,809,116
2024-03-01,USA,East,VM_US_003,Sales,795,877,794,-82
2024-03-01,USA,East,VM_US_003,Marketing,804,877,794,-73
2024-03-01,USA,East,VM_US_003,Finance,763,877,794,-114
2024-03-01,USA,East,VM_US_003,System,817,877,794,-60
2024-04-01,USA,East,VM_US_003,Sales,976,873,860,103
2024-04-01,USA,East,VM_US_003,Marketing,630,873,860,-243
2024-04-01,USA,East,VM_US_003,Finance,970,873,860,97
2024-04-01,USA,East,VM_US_003,System,864,873,860,-9
2024-05-01,USA,East,VM_US_003,Sales,759,768,792,-9
2024-05-01,USA,East,VM_US_003,Marketing,914,768,792,146
2024-05-01,USA,East,VM_US_003,Finance,835,768,792,67
2024-05-01,USA,East,VM_US_003,System,663,768,792,-105
2024-06-01,USA,East,VM_US_003,Sales,924,857,813,67
2024-06-01,USA,East,VM_US_003,Marketing,896,857,813,39
2024-06-01,USA,East,VM_US_003,Finance,751,857,813,-106
2024-06-01,USA,East,VM_US_003,System,682,857,813,-175
2024-07-01,USA,East,VM_US_003,Sales,1130,773,843,357
2024-07-01,USA,East,VM_US_003,Marketing,662,773,843,-111
2024-07-01,USA,East,VM_US_003,Finance,730,773,843,-43
2024-07-01,USA,East,VM_US_003,System,851,773,843,78
2024-08-01,USA,East,VM_US_003,Sales,793,797,835,-4
2024-08-01,USA,East,VM_US_003,Marketing,1010,797,835,213
2024-08-01,USA,East,VM_US_003,Finance,729,797,835,-68
2024-08-01,USA,East,VM_US_003,System,811,797,835,14
2024-09-01,USA,East,VM_US_003,Sales,734,837,808,-103
2024-09-01,USA,East,VM_US_003,Marketing,672,837,808,-165
2024-09-01,USA,East,VM_US_003,Finance,839,837,808,2
2024-09-01,USA,East,VM_US_003,System,989,837,808,152
2024-10-01,USA,East,VM_US_003,Sales,821,862,839,-41
2024-10-01,USA,East,VM_US_003,Marketing,821,862,839,-41
2024-10-01,USA,East,VM_US_003,Finance,787,862,839,-75
2024-10-01,USA,East,VM_US_003,System,928,862,839,66
2024-11-01,USA,East,VM_US_003,Sales,680,751,768,-71
2024-11-01,USA,East,VM_US_003,Marketing,658,751,768,-93
2024-11-01,USA,East,VM_US_003,Finance,820,751,768,69
2024-11-01,USA,East,VM_US_003,System,916,751,768,165
2024-12-01,USA,East,VM_US_003,Sales,782,841,840,-59
2024-12-01,USA,East,VM_US_003,Marketing,857,841,840,16
2024-12-01,USA,East,VM_US_003,Finance,831,841,840,-10
2024-12-01,USA,East,VM_US_003,System,893,841,840,52
2023-01-01,USA,East,VM_US_004,Sales,2267,2076,2496,191
2023-01-01,USA,East,VM_US_004,Marketing,2413,2076,2496,337
2023-01-01,USA,East,VM_US_004,Finance,2738,2076,2496,662
2023-01-01,USA,East,VM_US_004,System,2566,2076,2496,490
2023-02-01,USA,East,VM_US_004,Sales,2321,2271,2233,50
2023-02-01,USA,East,VM_US_004,Marketing,2047,2271,2233,-224
2023-02-01,USA,East,VM_US_004,Finance,2321,2271,2233,50
2023-02-01,USA,East,VM_US_004,System,2246,2271,2233,-25
2023-03-01,USA,East,VM_US_004,Sales,2096,2439,2404,-343
2023-03-01,USA,East,VM_US_004,Marketing,2472,2439,2404,33
2023-03-01,USA,East,VM_US_004,Finance,2755,2439,2404,316
2023-03-01,USA,East,VM_US_004,System,2296,2439,2404,-143
2023-04-01,USA,East,VM_US_004,Sales,2519,2467,2363,52
2023-04-01,USA,East,VM_US_004,Marketing,2214,2467,2363,-253
2023-04-01,USA,East,VM_US_004,Finance,2389,2467,2363,-78
2023-04-01,USA,East,VM_US_004,System,2330,2467,2363,-137
2023-05-01,USA,East,VM_US_004,Sales,2111,2361,2410,-250
2023-05-01,USA,East,VM_US_004,Marketing,2333,2361,2410,-28
2023-05-01,USA,East,VM_US_004,Finance,2466,2361,2410,105
2023-05-01,USA,East,VM_US_004,System,2732,2361,2410,371
2023-06-01,USA,East,VM_US_004,Sales,2928,2661,2497,267
2023-06-01,USA,East,VM_US_004,Marketing,2112,2661,2497,-549
2023-06-01,USA,East,VM_US_004,Finance,2570,2661,2497,-91
2023-06-01,USA,East,VM_US_004,System,2378,2661,2497,-283
2023-07-01,USA,East,VM_US_004,Sales,2101,3091,2021,-990
2023-07-01,USA,East,VM_US_004,Marketing,2092,3091,2021,-999
2023-07-01,USA,East,VM_US_004,Finance,2159,3091,2021,-932
2023-07-01,USA,East,VM_US_004,System,1733,3091,2021,-1358
2023-08-01,USA,East,VM_US_004,Sales,2115,2143,2438,-28
2023-08-01,USA,East,VM_US_004,Marketing,2368,2143,2438,225
2023-08-01,USA,East,VM_US_004,Finance,2422,2143,2438,279
2023-08-01,USA,East,VM_US_004,System,2850,2143,2438,707
2023-09-01,USA,East,VM_US_004,Sales,2165,2658,2165,-493
2023-09-01,USA,East,VM_US_004,Marketing,2076,2658,2165,-582
2023-09-01,USA,East,VM_US_004,Finance,2464,2658,2165,-194
2023-09-01,USA,East,VM_US_004,System,1958,2658,2165,-700
2023-10-01,USA,East,VM_US_004,Sales,2656,2966,2351,-310
2023-10-01,USA,East,VM_US_004,Marketing,2195,2966,2351,-771
2023-10-01,USA,East,VM_US_004,Finance,1848,2966,2351,-1118
2023-10-01,USA,East,VM_US_004,System,2705,2966,2351,-261
2023-11-01,USA,East,VM_US_004,Sales,2672,2287,2260,385
2023-11-01,USA,East,VM_US_004,Marketing,1881,2287,2260,-406
2023-11-01,USA,East,VM_US_004,Finance,2159,2287,2260,-128
2023-11-01,USA,East,VM_US_004,System,2328,2287,2260,41
2023-12-01,USA,East,VM_US_004,Sales,2201,2343,2254,-142
2023-12-01,USA,East,VM_US_004,Marketing,2500,2343,2254,157
2023-12-01,USA,East,VM_US_004,Finance,2028,2343,2254,-315
2023-12-01,USA,East,VM_US_004,System,2287,2343,2254,-56
2024-01-01,USA,East,VM_US_004,Sales,2470,2368,2226,102
2024-01-01,USA,East,VM_US_004,Marketing,2525,2368,2226,157
2024-01-01,USA,East,VM_US_004,Finance,2012,2368,2226,-356
2024-01-01,USA,East,VM_US_004,System,1898,2368,2226,-470
2024-02-01,USA,East,VM_US_004,Sales,2419,2772,2413,-353
2024-02-01,USA,East,VM_US_004,Marketing,2117,2772,2413,-655
2024-02-01,USA,East,VM_US_004,Finance,2760,2772,2413,-12
2024-02-01,USA,East,VM_US_004,System,2359,2772,2413,-413
2024-03-01,USA,East,VM_US_004,Sales,2345,2738,2580,-393
2024-03-01,USA,East,VM_US_004,Marketing,2902,2738,2580,164
2024-03-01,USA,East,VM_US_004,Finance,2817,2738,2580,79
2024-03-01,USA,East,VM_US_004,System,2257,2738,2580,-481
2024-04-01,USA,East,VM_US_004,Sales,2507,2666,2447,-159
2024-04-01,USA,East,VM_US_004,Marketing,2709,2666,2447,43
2024-04-01,USA,East,VM_US_004,Finance,2057,2666,2447,-609
2024-04-01,USA,East,VM_US_004,System,2518,2666,2447,-148
2024-05-01,USA,East,VM_US_004,Sales,1835,2696,1959,-861
2024-05-01,USA,East,VM_US_004,Marketing,1996,2696,1959,-700
2024-05-01,USA,East,VM_US_004,Finance,1757,2696,1959,-939
2024-05-01,USA,East,VM_US_004,System,2251,2696,1959,-445
2024-06-01,USA,East,VM_US_004,Sales,2746,2577,2453,169
2024-06-01,USA,East,VM_US_004,Marketing,2347,2577,2453,-230
2024-06-01,USA,East,VM_US_004,Finance,2781,2577,2453,204
2024-06-01,USA,East,VM_US_004,System,1941,2577,2453,-636
2024-07-01,USA,East,VM_US_004,Sales,2311,1732,2202,579
2024-07-01,USA,East,VM_US_004,Marketing,2434,1732,2202,702
2024-07-01,USA,East,VM_US_004,Finance,2317,1732,2202,585
2024-07-01,USA,East,VM_US_004,System,1749,1732,2202,17
2024-08-01,USA,East,VM_US_004,Sales,1962,2295,2242,-333
2024-08-01,USA,East,VM_US_004,Marketing,2513,2295,2242,218
2024-08-01,USA,East,VM_US_004,Finance,2429,2295,2242,134
2024-08-01,USA,East,VM_US_004,System,2064,2295,2242,-231
2024-09-01,USA,East,VM_US_004,Sales,2031,2147,2246,-116
2024-09-01,USA,East,VM_US_004,Marketing,2309,2147,2246,162
2024-09-01,USA,East,VM_US_004,Finance,2593,2147,2246,446
2024-09-01,USA,East,VM_US_004,System,2051,2147,2246,-96
2024-10-01,USA,East,VM_US_004,Sales,2178,2502,2154,-324
2024-10-01,USA,East,VM_US_004,Marketing,2105,2502,2154,-397
2024-10-01,USA,East,VM_US_004,Finance,2297,2502,2154,-205
2024-10-01,USA,East,VM_US_004,System,2037,2502,2154,-465
2024-11-01,USA,East,VM_US_004,Sales,1992,2133,2333,-141
2024-11-01,USA,East,VM_US_004,Marketing,2875,2133,2333,742
2024-11-01,USA,East,VM_US_004,Finance,2336,2133,2333,203
2024-11-01,USA,East,VM_US_004,System,2131,2133,2333,-2
2024-12-01,USA,East,VM_US_004,Sales,2295,2401,2399,-106
2024-12-01,USA,East,VM_US_004,Marketing,2265,2401,2399,-136
2024-12-01,USA,East,VM_US_004,Finance,2498,2401,2399,97
2024-12-01,USA,East,VM_US_004,System,2538,2401,2399,137
2023-01-01,USA,East,VM_US_005,Sales,1843,1782,1803,61
2023-01-01,USA,East,VM_US_005,Marketing,1768,1782,1803,-14
2023-01-01,USA,East,VM_US_005,Finance,1788,1782,1803,6
2023-01-01,USA,East,VM_US_005,System,1816,1782,1803,34
2023-02-01,USA,East,VM_US_005,Sales,1722,2201,1840,-479
2023-02-01,USA,East,VM_US_005,Marketing,1803,2201,1840,-398
2023-02-01,USA,East,VM_US_005,Finance,1960,2201,1840,-241
2023-02-01,USA,East,VM_US_005,System,1876,2201,1840,-325
2023-03-01,USA,East,VM_US_005,Sales,1968,1680,1724,288
2023-03-01,USA,East,VM_US_005,Marketing,1590,1680,1724,-90
2023-03-01,USA,East,VM_US_005,Finance,1727,1680,1724,47
2023-03-01,USA,East,VM_US_005,System,1611,1680,1724,-69
2023-04-01,USA,East,VM_US_005,Sales,2029,1929,1808,100
2023-04-01,USA,East,VM_US_005,Marketing,1823,1929,1808,-106
2023-04-01,USA,East,VM_US_005,Finance,1792,1929,1808,-137
2023-04-01,USA,East,VM_US_005,System,1589,1929,1808,-340
2023-05-01,USA,East,VM_US_005,Sales,1521,1588,1559,-67
2023-05-01,USA,East,VM_US_005,Marketing,1312,1588,1559,-276
2023-05-01,USA,East,VM_US_005,Finance,1692,1588,1559,104
2023-05-01,USA,East,VM_US_005,System,1712,1588,1559,124
2023-06-01,USA,East,VM_US_005,Sales,2109,2354,2073,-245
2023-06-01,USA,East,VM_US_005,Marketing,1894,2354,2073,-460
2023-06-01,USA,East,VM_US_005,Finance,2220,2354,2073,-134
2023-06-01,USA,East,VM_US_005,System,2072,2354,2073,-282
2023-07-01,USA,East,VM_US_005,Sales,2003,1241,1779,762
2023-07-01,USA,East,VM_US_005,Marketing,1927,1241,1779,686
2023-07-01,USA,East,VM_US_005,Finance,1714,1241,1779,473
2023-07-01,USA,East,VM_US_005,System,1474,1241,1779,233
2023-08-01,USA,East,VM_US_005,Sales,1332,1934,1563,-602
