Date,Country,Channel,Brand,SKU,Promo_Flag,Actual_Units,Naive_Forecast,MA_Forecast,SES_Forecast,HW_Forecast
2022-02-03,FR,Retail,NutriBox,NB-FR-001,0,110,110,101,109,141
2022-02-04,FR,Retail,NutriBox,NB-FR-001,0,81,81,79,78,83
2022-02-05,FR,Retail,NutriBox,NB-FR-001,0,94,94,77,92,79
2022-02-06,FR,Retail,NutriBox,NB-FR-001,0,129,129,110,97,105
2022-02-07,FR,Retail,NutriBox,NB-FR-001,0,110,110,105,101,96
2022-02-08,FR,Retail,NutriBox,NB-FR-001,0,86,86,80,79,80
2022-02-09,FR,Retail,NutriBox,NB-FR-001,0,74,74,85,80,97
2022-02-10,FR,Retail,NutriBox,NB-FR-001,0,76,76,69,63,73
2022-02-11,FR,Retail,NutriBox,NB-FR-001,0,77,77,75,86,84
2022-02-12,FR,Retail,NutriBox,NB-FR-001,0,79,79,68,68,61
2022-02-13,FR,Retail,NutriBox,NB-FR-001,0,110,110,93,82,108
2022-02-14,FR,Retail,NutriBox,NB-FR-001,0,93,93,100,92,79
2022-02-15,FR,Retail,NutriBox,NB-FR-001,0,86,86,82,81,75
2022-02-16,FR,Retail,NutriBox,NB-FR-001,0,106,106,100,105,87
2022-02-17,FR,Retail,NutriBox,NB-FR-001,1,177,177,156,168,170
2022-02-18,FR,Retail,NutriBox,NB-FR-001,0,108,108,85,92,95
2022-02-19,FR,Retail,NutriBox,NB-FR-001,0,66,66,95,102,95
2022-02-20,FR,Retail,NutriBox,NB-FR-001,0,95,95,95,89,90
2022-02-21,FR,Retail,NutriBox,NB-FR-001,0,84,84,80,75,73
2022-02-22,FR,Retail,NutriBox,NB-FR-001,0,107,107,103,118,109
2022-02-23,FR,Retail,NutriBox,NB-FR-001,0,84,84,101,101,103
2022-02-24,FR,Retail,NutriBox,NB-FR-001,0,116,116,99,117,112
2022-02-25,FR,Retail,NutriBox,NB-FR-001,0,91,91,76,70,90
2022-02-26,FR,Retail,NutriBox,NB-FR-001,0,79,79,76,69,78
2022-02-27,FR,Retail,NutriBox,NB-FR-001,0,99,99,108,105,97
2022-02-28,FR,Retail,NutriBox,NB-FR-001,0,107,107,101,96,113
2022-03-01,FR,Retail,NutriBox,NB-FR-001,0,110,110,117,110,95
2022-03-02,FR,Retail,NutriBox,NB-FR-001,0,109,109,108,100,119
2022-03-03,FR,Retail,NutriBox,NB-FR-001,0,113,113,112,101,109
2022-03-04,FR,Retail,NutriBox,NB-FR-001,0,94,94,96,101,94
2022-03-05,FR,Retail,NutriBox,NB-FR-001,0,92,92,85,92,93
2022-03-06,FR,Retail,NutriBox,NB-FR-001,0,73,73,90,93,95
2022-03-07,FR,Retail,NutriBox,NB-FR-001,1,185,185,166,162,179
2022-03-08,FR,Retail,NutriBox,NB-FR-001,0,63,63,73,59,73
2022-03-09,FR,Retail,NutriBox,NB-FR-001,0,124,124,96,101,94
2022-03-10,FR,Retail,NutriBox,NB-FR-001,0,81,81,76,93,73
2022-03-11,FR,Retail,NutriBox,NB-FR-001,1,124,124,108,104,109
2022-03-12,FR,Retail,NutriBox,NB-FR-001,0,119,119,110,124,118
2022-03-13,FR,Retail,NutriBox,NB-FR-001,0,114,114,97,104,104
2022-03-14,FR,Retail,NutriBox,NB-FR-001,0,118,118,89,86,100
2022-03-15,FR,Retail,NutriBox,NB-FR-001,0,112,112,107,99,112
2022-03-16,FR,Retail,NutriBox,NB-FR-001,0,87,87,79,80,84
2022-03-17,FR,Retail,NutriBox,NB-FR-001,0,90,90,92,89,95
2022-03-18,FR,Retail,NutriBox,NB-FR-001,0,83,83,82,76,81
2022-03-19,FR,Retail,NutriBox,NB-FR-001,0,104,104,106,113,101
2022-03-20,FR,Retail,NutriBox,NB-FR-001,0,89,89,81,79,82
2022-03-21,FR,Retail,NutriBox,NB-FR-001,0,86,86,75,94,82
2022-03-22,FR,Retail,NutriBox,NB-FR-001,0,91,91,93,92,96
2022-03-23,FR,Retail,NutriBox,NB-FR-001,1,138,138,144,137,143
2022-03-24,FR,Retail,NutriBox,NB-FR-001,0,101,101,93,92,106
2022-03-25,FR,Retail,NutriBox,NB-FR-001,0,108,108,96,95,105
2022-03-26,FR,Retail,NutriBox,NB-FR-001,1,149,149,175,166,139
2022-03-27,FR,Retail,NutriBox,NB-FR-001,0,95,95,87,90,81
2022-03-28,FR,Retail,NutriBox,NB-FR-001,0,105,105,92,93,114
2022-03-29,FR,Retail,NutriBox,NB-FR-001,0,101,101,122,106,109
2022-03-30,FR,Retail,NutriBox,NB-FR-001,0,77,77,100,105,105
2022-03-31,FR,Retail,NutriBox,NB-FR-001,0,65,65,71,67,80
2022-04-01,FR,Retail,NutriBox,NB-FR-001,0,147,147,134,137,149
2022-04-02,FR,Retail,NutriBox,NB-FR-001,0,77,77,85,78,70
2022-04-03,FR,Retail,NutriBox,NB-FR-001,0,132,132,113,113,122
2022-04-04,FR,Retail,NutriBox,NB-FR-001,0,89,89,94,95,95
2022-04-05,FR,Retail,NutriBox,NB-FR-001,0,52,52,67,68,61
2022-04-06,FR,Retail,NutriBox,NB-FR-001,0,106,106,114,108,122
2022-04-07,FR,Retail,NutriBox,NB-FR-001,0,79,79,96,90,83
2022-04-08,FR,Retail,NutriBox,NB-FR-001,0,95,95,115,97,95
2022-04-09,FR,Retail,NutriBox,NB-FR-001,0,113,113,84,95,111
2022-04-10,FR,Retail,NutriBox,NB-FR-001,1,166,166,153,128,170
2022-04-11,FR,Retail,NutriBox,NB-FR-001,0,74,74,88,101,79
2022-04-12,FR,Retail,NutriBox,NB-FR-001,0,109,109,95,88,103
2022-04-13,FR,Retail,NutriBox,NB-FR-001,0,86,86,93,106,97
2022-04-14,FR,Retail,NutriBox,NB-FR-001,0,67,67,75,85,94
2022-04-15,FR,Retail,NutriBox,NB-FR-001,0,79,79,92,90,114
2022-04-16,FR,Retail,NutriBox,NB-FR-001,0,112,112,83,87,78
2022-04-17,FR,Retail,NutriBox,NB-FR-001,0,88,88,94,85,93
2022-04-18,FR,Retail,NutriBox,NB-FR-001,0,96,96,94,85,85
2022-04-19,FR,Retail,NutriBox,NB-FR-001,0,107,107,82,79,82
2022-04-20,FR,Retail,NutriBox,NB-FR-001,0,96,96,86,84,94
2022-04-21,FR,Retail,NutriBox,NB-FR-001,0,103,103,98,82,101
2022-04-22,FR,Retail,NutriBox,NB-FR-001,0,108,108,130,110,131
2022-04-23,FR,Retail,NutriBox,NB-FR-001,0,95,95,98,99,99
2022-04-24,FR,Retail,NutriBox,NB-FR-001,0,69,69,83,84,70
2022-04-25,FR,Retail,NutriBox,NB-FR-001,0,85,85,84,70,105
2022-04-26,FR,Retail,NutriBox,NB-FR-001,0,77,77,78,73,87
2022-04-27,FR,Retail,NutriBox,NB-FR-001,1,148,148,143,154,135
2022-04-28,FR,Retail,NutriBox,NB-FR-001,0,102,102,79,76,88
2022-04-29,FR,Retail,NutriBox,NB-FR-001,0,107,107,98,105,97
2022-04-30,FR,Retail,NutriBox,NB-FR-001,0,96,96,115,108,122
2022-05-01,FR,Retail,NutriBox,NB-FR-001,0,101,101,113,109,110
2022-05-02,FR,Retail,NutriBox,NB-FR-001,0,99,99,102,80,111
2022-05-03,FR,Retail,NutriBox,NB-FR-001,0,128,128,112,119,127
2022-05-04,FR,Retail,NutriBox,NB-FR-001,1,121,121,124,108,124
2022-05-05,FR,Retail,NutriBox,NB-FR-001,0,89,89,85,75,83
2022-05-06,FR,Retail,NutriBox,NB-FR-001,0,73,73,84,84,97
2022-05-07,FR,Retail,NutriBox,NB-FR-001,0,66,66,79,68,82
2022-05-08,FR,Retail,NutriBox,NB-FR-001,0,92,92,86,84,87
2022-05-09,FR,Retail,NutriBox,NB-FR-001,0,79,79,69,66,77
2022-05-10,FR,Retail,NutriBox,NB-FR-001,0,52,52,57,51,69
2022-05-11,FR,Retail,NutriBox,NB-FR-001,0,75,75,85,84,87
2022-05-12,FR,Retail,NutriBox,NB-FR-001,0,76,76,64,64,56
2022-05-13,FR,Retail,NutriBox,NB-FR-001,1,173,173,178,168,196
2022-05-14,FR,Retail,NutriBox,NB-FR-001,1,132,132,126,132,145
2022-05-15,FR,Retail,NutriBox,NB-FR-001,1,163,163,179,130,173
2022-05-16,FR,Retail,NutriBox,NB-FR-001,0,64,64,67,61,59
2022-05-17,FR,Retail,NutriBox,NB-FR-001,0,98,98,116,107,141
2022-05-18,FR,Retail,NutriBox,NB-FR-001,0,112,112,117,110,123
2022-05-19,FR,Retail,NutriBox,NB-FR-001,0,95,95,77,86,69
2022-05-20,FR,Retail,NutriBox,NB-FR-001,0,107,107,93,80,80
2022-05-21,FR,Retail,NutriBox,NB-FR-001,0,137,137,120,119,108
2022-05-22,FR,Retail,NutriBox,NB-FR-001,0,113,113,115,119,92
2022-05-23,FR,Retail,NutriBox,NB-FR-001,0,97,97,81,77,94
2022-05-24,FR,Retail,NutriBox,NB-FR-001,0,110,110,117,111,94
2022-05-25,FR,Retail,NutriBox,NB-FR-001,0,116,116,112,97,114
2022-05-26,FR,Retail,NutriBox,NB-FR-001,0,83,83,82,69,104
2022-05-27,FR,Retail,NutriBox,NB-FR-001,0,106,106,103,102,124
2022-05-28,FR,Retail,NutriBox,NB-FR-001,0,98,98,113,120,107
2022-05-29,FR,Retail,NutriBox,NB-FR-001,0,83,83,70,74,85
2022-05-30,FR,Retail,NutriBox,NB-FR-001,0,75,75,81,83,76
2022-05-31,FR,Retail,NutriBox,NB-FR-001,0,161,161,135,144,152
2022-06-01,FR,Retail,NutriBox,NB-FR-001,0,151,151,149,128,149
2022-06-02,FR,Retail,NutriBox,NB-FR-001,0,185,185,174,177,212
2022-06-03,FR,Retail,NutriBox,NB-FR-001,0,134,134,135,134,148
2022-06-04,FR,Retail,NutriBox,NB-FR-001,0,90,90,107,109,109
2022-06-05,FR,Retail,NutriBox,NB-FR-001,0,169,169,177,150,149
2022-06-06,FR,Retail,NutriBox,NB-FR-001,0,167,167,142,148,142
2022-06-07,FR,Retail,NutriBox,NB-FR-001,0,124,124,135,129,134
2022-06-08,FR,Retail,NutriBox,NB-FR-001,0,111,111,142,131,106
2022-06-09,FR,Retail,NutriBox,NB-FR-001,0,107,107,123,123,132
2022-06-10,FR,Retail,NutriBox,NB-FR-001,1,217,217,207,196,214
2022-06-11,FR,Retail,NutriBox,NB-FR-001,0,84,84,77,90,82
2022-06-12,FR,Retail,NutriBox,NB-FR-001,0,153,153,160,162,168
2022-06-13,FR,Retail,NutriBox,NB-FR-001,0,117,117,101,101,121
2022-06-14,FR,Retail,NutriBox,NB-FR-001,0,63,63,81,88,91
2022-06-15,FR,Retail,NutriBox,NB-FR-001,0,115,115,135,134,158
2022-06-16,FR,Retail,NutriBox,NB-FR-001,0,162,162,142,151,161
2022-06-17,FR,Retail,NutriBox,NB-FR-001,1,237,237,231,261,277
2022-06-18,FR,Retail,NutriBox,NB-FR-001,1,208,208,214,211,227
2022-06-19,FR,Retail,NutriBox,NB-FR-001,0,100,100,108,121,104
2022-06-20,FR,Retail,NutriBox,NB-FR-001,0,99,99,109,118,134
2022-06-21,FR,Retail,NutriBox,NB-FR-001,0,163,163,151,161,165
2022-06-22,FR,Retail,NutriBox,NB-FR-001,1,254,254,271,300,267
2022-06-23,FR,Retail,NutriBox,NB-FR-001,0,145,145,144,123,169
2022-06-24,FR,Retail,NutriBox,NB-FR-001,1,226,226,225,263,213
2022-06-25,FR,Retail,NutriBox,NB-FR-001,0,151,151,150,153,181
2022-06-26,FR,Retail,NutriBox,NB-FR-001,0,177,177,168,170,167
2022-06-27,FR,Retail,NutriBox,NB-FR-001,0,161,161,140,150,140
2022-06-28,FR,Retail,NutriBox,NB-FR-001,0,173,173,161,146,141
2022-06-29,FR,Retail,NutriBox,NB-FR-001,0,134,134,132,143,119
2022-06-30,FR,Retail,NutriBox,NB-FR-001,0,153,153,143,149,155
2022-07-01,FR,Retail,NutriBox,NB-FR-001,0,160,160,154,164,159
2022-07-02,FR,Retail,NutriBox,NB-FR-001,0,217,217,198,207,217
2022-07-03,FR,Retail,NutriBox,NB-FR-001,0,99,99,118,112,117
2022-07-04,FR,Retail,NutriBox,NB-FR-001,1,192,192,176,179,219
2022-07-05,FR,Retail,NutriBox,NB-FR-001,0,153,153,154,119,170
2022-07-06,FR,Retail,NutriBox,NB-FR-001,0,119,119,104,109,130
2022-07-07,FR,Retail,NutriBox,NB-FR-001,0,104,104,102,100,104
2022-07-08,FR,Retail,NutriBox,NB-FR-001,1,151,151,195,187,167
2022-07-09,FR,Retail,NutriBox,NB-FR-001,0,183,183,188,201,207
2022-07-10,FR,Retail,NutriBox,NB-FR-001,0,120,120,130,136,123
2022-07-11,FR,Retail,NutriBox,NB-FR-001,0,147,147,146,159,137
2022-07-12,FR,Retail,NutriBox,NB-FR-001,1,231,231,178,200,245
2022-07-13,FR,Retail,NutriBox,NB-FR-001,0,155,155,142,142,157
2022-07-14,FR,Retail,NutriBox,NB-FR-001,0,171,171,156,166,157
2022-07-15,FR,Retail,NutriBox,NB-FR-001,0,135,135,125,109,109
2022-07-16,FR,Retail,NutriBox,NB-FR-001,0,179,179,176,150,164
2022-07-17,FR,Retail,NutriBox,NB-FR-001,1,255,255,257,212,280
2022-07-18,FR,Retail,NutriBox,NB-FR-001,0,150,150,144,164,175
2022-07-19,FR,Retail,NutriBox,NB-FR-001,0,159,159,150,192,175
2022-07-20,FR,Retail,NutriBox,NB-FR-001,0,132,132,150,142,153
2022-07-21,FR,Retail,NutriBox,NB-FR-001,0,108,108,125,135,147
2022-07-22,FR,Retail,NutriBox,NB-FR-001,0,128,128,141,120,144
2022-07-23,FR,Retail,NutriBox,NB-FR-001,1,183,183,193,204,207
2022-07-24,FR,Retail,NutriBox,NB-FR-001,0,144,144,152,141,133
2022-07-25,FR,Retail,NutriBox,NB-FR-001,0,172,172,163,183,167
2022-07-26,FR,Retail,NutriBox,NB-FR-001,0,119,119,112,121,137
2022-07-27,FR,Retail,NutriBox,NB-FR-001,0,77,77,79,78,80
2022-07-28,FR,Retail,NutriBox,NB-FR-001,0,126,126,117,105,118
2022-07-29,FR,Retail,NutriBox,NB-FR-001,0,189,189,147,160,160
2022-07-30,FR,Retail,NutriBox,NB-FR-001,1,278,278,259,252,249
2022-07-31,FR,Retail,NutriBox,NB-FR-001,0,105,105,99,105,107
2022-08-01,FR,Retail,NutriBox,NB-FR-001,0,102,102,109,121,111
2022-08-02,FR,Retail,NutriBox,NB-FR-001,0,118,118,112,103,102
2022-08-03,FR,Retail,NutriBox,NB-FR-001,0,148,148,144,159,146
2022-08-04,FR,Retail,NutriBox,NB-FR-001,0,114,114,116,131,126
2022-08-05,FR,Retail,NutriBox,NB-FR-001,0,104,104,107,99,104
2022-08-06,FR,Retail,NutriBox,NB-FR-001,0,115,115,105,114,111
2022-08-07,FR,Retail,NutriBox,NB-FR-001,0,192,192,144,164,157
2022-08-08,FR,Retail,NutriBox,NB-FR-001,0,102,102,98,107,105
2022-08-09,FR,Retail,NutriBox,NB-FR-001,0,135,135,146,143,146
2022-08-10,FR,Retail,NutriBox,NB-FR-001,0,168,168,172,174,165
2022-08-11,FR,Retail,NutriBox,NB-FR-001,1,175,175,190,191,196
2022-08-12,FR,Retail,NutriBox,NB-FR-001,0,153,153,163,152,136
2022-08-13,FR,Retail,NutriBox,NB-FR-001,0,136,136,151,123,144
2022-08-14,FR,Retail,NutriBox,NB-FR-001,1,184,184,155,148,198
2022-08-15,FR,Retail,NutriBox,NB-FR-001,0,134,134,144,142,146
2022-08-16,FR,Retail,NutriBox,NB-FR-001,0,115,115,122,118,122
2022-08-17,FR,Retail,NutriBox,NB-FR-001,0,171,171,135,155,148
2022-08-18,FR,Retail,NutriBox,NB-FR-001,0,145,145,118,112,124
2022-08-19,FR,Retail,NutriBox,NB-FR-001,0,166,166,164,157,171
2022-08-20,FR,Retail,NutriBox,NB-FR-001,1,211,211,194,204,189
2022-08-21,FR,Retail,NutriBox,NB-FR-001,1,213,213,186,189,231
2022-08-22,FR,Retail,NutriBox,NB-FR-001,1,246,246,249,218,334
2022-08-23,FR,Retail,NutriBox,NB-FR-001,0,138,138,117,123,132
2022-08-24,FR,Retail,NutriBox,NB-FR-001,0,68,68,65,59,61
2022-08-25,FR,Retail,NutriBox,NB-FR-001,0,143,143,160,169,181
2022-08-26,FR,Retail,NutriBox,NB-FR-001,0,127,127,118,116,109
2022-08-27,FR,Retail,NutriBox,NB-FR-001,0,124,124,132,141,167
2022-08-28,FR,Retail,NutriBox,NB-FR-001,0,144,144,118,143,128
2022-08-29,FR,Retail,NutriBox,NB-FR-001,0,129,129,124,128,117
2022-08-30,FR,Retail,NutriBox,NB-FR-001,0,147,147,134,140,166
2022-08-31,FR,Retail,NutriBox,NB-FR-001,0,132,132,132,145,154
2022-09-01,FR,Retail,NutriBox,NB-FR-001,0,98,98,111,115,107
2022-09-02,FR,Retail,NutriBox,NB-FR-001,0,96,96,102,96,100
2022-09-03,FR,Retail,NutriBox,NB-FR-001,0,132,132,122,122,140
2022-09-04,FR,Retail,NutriBox,NB-FR-001,0,106,106,102,107,121
2022-09-05,FR,Retail,NutriBox,NB-FR-001,0,91,91,101,108,87
2022-09-06,FR,Retail,NutriBox,NB-FR-001,0,132,132,132,164,135
2022-09-07,FR,Retail,NutriBox,NB-FR-001,1,150,150,146,142,136
2022-09-08,FR,Retail,NutriBox,NB-FR-001,0,111,111,129,158,125
2022-09-09,FR,Retail,NutriBox,NB-FR-001,0,104,104,99,94,101
2022-09-10,FR,Retail,NutriBox,NB-FR-001,0,123,123,119,108,112
2022-09-11,FR,Retail,NutriBox,NB-FR-001,0,73,73,87,74,104
2022-09-12,FR,Retail,NutriBox,NB-FR-001,1,127,127,150,132,149
2022-09-13,FR,Retail,NutriBox,NB-FR-001,1,172,172,157,138,171
2022-09-14,FR,Retail,NutriBox,NB-FR-001,1,143,143,127,140,128
2022-09-15,FR,Retail,NutriBox,NB-FR-001,0,79,79,96,92,72
2022-09-16,FR,Retail,NutriBox,NB-FR-001,0,104,104,109,107,122
2022-09-17,FR,Retail,NutriBox,NB-FR-001,0,145,145,145,131,120
2022-09-18,FR,Retail,NutriBox,NB-FR-001,0,93,93,84,79,82
2022-09-19,FR,Retail,NutriBox,NB-FR-001,0,128,128,129,128,143
2022-09-20,FR,Retail,NutriBox,NB-FR-001,1,110,110,117,105,124
2022-09-21,FR,Retail,NutriBox,NB-FR-001,0,103,103,95,102,93
2022-09-22,FR,Retail,NutriBox,NB-FR-001,0,56,56,42,44,54
2022-09-23,FR,Retail,NutriBox,NB-FR-001,0,67,67,71,74,71
2022-09-24,FR,Retail,NutriBox,NB-FR-001,0,116,116,99,93,112
2022-09-25,FR,Retail,NutriBox,NB-FR-001,0,131,131,112,135,144
2022-09-26,FR,Retail,NutriBox,NB-FR-001,0,58,58,66,59,56
2022-09-27,FR,Retail,NutriBox,NB-FR-001,0,83,83,74,79,80
2022-09-28,FR,Retail,NutriBox,NB-FR-001,0,114,114,117,127,105
2022-09-29,FR,Retail,NutriBox,NB-FR-001,0,170,170,138,131,157
2022-09-30,FR,Retail,NutriBox,NB-FR-001,0,143,143,122,149,135
2022-10-01,FR,Retail,NutriBox,NB-FR-001,0,119,119,119,112,102
2022-10-02,FR,Retail,NutriBox,NB-FR-001,0,106,106,120,120,109
2022-10-03,FR,Retail,NutriBox,NB-FR-001,0,125,125,122,133,130
2022-10-04,FR,Retail,NutriBox,NB-FR-001,0,135,135,128,120,136
2022-10-05,FR,Retail,NutriBox,NB-FR-001,0,132,132,125,112,139
2022-10-06,FR,Retail,NutriBox,NB-FR-001,0,92,92,83,69,86
2022-10-07,FR,Retail,NutriBox,NB-FR-001,0,62,62,65,70,70
2022-10-08,FR,Retail,NutriBox,NB-FR-001,0,78,78,93,104,101
2022-10-09,FR,Retail,NutriBox,NB-FR-001,0,123,123,125,132,108
2022-10-10,FR,Retail,NutriBox,NB-FR-001,0,113,113,102,132,107
2022-10-11,FR,Retail,NutriBox,NB-FR-001,0,113,113,120,122,140
2022-10-12,FR,Retail,NutriBox,NB-FR-001,1,120,120,126,118,144
2022-10-13,FR,Retail,NutriBox,NB-FR-001,0,81,81,67,67,72
2022-10-14,FR,Retail,NutriBox,NB-FR-001,0,67,67,86,88,99
2022-10-15,FR,Retail,NutriBox,NB-FR-001,0,60,60,52,51,50
2022-10-16,FR,Retail,NutriBox,NB-FR-001,0,95,95,87,100,102
2022-10-17,FR,Retail,NutriBox,NB-FR-001,0,114,114,99,121,109
2022-10-18,FR,Retail,NutriBox,NB-FR-001,0,97,97,98,81,97
2022-10-19,FR,Retail,NutriBox,NB-FR-001,0,128,128,121,121,129
2022-10-20,FR,Retail,NutriBox,NB-FR-001,0,86,86,108,86,113
2022-10-21,FR,Retail,NutriBox,NB-FR-001,0,132,132,122,116,128
2022-10-22,FR,Retail,NutriBox,NB-FR-001,1,169,169,161,163,156
2022-10-23,FR,Retail,NutriBox,NB-FR-001,0,133,133,111,114,96
2022-10-24,FR,Retail,NutriBox,NB-FR-001,0,111,111,100,103,125
2022-10-25,FR,Retail,NutriBox,NB-FR-001,0,95,95,88,88,89
2022-10-26,FR,Retail,NutriBox,NB-FR-001,0,57,57,39,42,39
2022-10-27,FR,Retail,NutriBox,NB-FR-001,0,83,83,86,87,88
2022-10-28,FR,Retail,NutriBox,NB-FR-001,0,96,96,83,89,102
2022-10-29,FR,Retail,NutriBox,NB-FR-001,0,108,108,92,94,95
2022-10-30,FR,Retail,NutriBox,NB-FR-001,1,115,115,125,129,131
2022-10-31,FR,Retail,NutriBox,NB-FR-001,0,109,109,107,100,111
2022-11-01,FR,Retail,NutriBox,NB-FR-001,0,114,114,109,103,109
2022-11-02,FR,Retail,NutriBox,NB-FR-001,1,185,185,172,210,209
2022-11-03,FR,Retail,NutriBox,NB-FR-001,0,157,157,168,172,156
2022-11-04,FR,Retail,NutriBox,NB-FR-001,0,140,140,139,129,174
2022-11-05,FR,Retail,NutriBox,NB-FR-001,0,124,124,130,149,124
2022-11-06,FR,Retail,NutriBox,NB-FR-001,0,80,80,79,90,86
2022-11-07,FR,Retail,NutriBox,NB-FR-001,1,192,192,216,185,204
2022-11-08,FR,Retail,NutriBox,NB-FR-001,0,155,155,142,148,175
2022-11-09,FR,Retail,NutriBox,NB-FR-001,0,174,174,166,144,166
2022-11-10,FR,Retail,NutriBox,NB-FR-001,0,141,141,147,143,128
2022-11-11,FR,Retail,NutriBox,NB-FR-001,0,113,113,110,121,134
2022-11-12,FR,Retail,NutriBox,NB-FR-001,0,115,115,129,127,141
2022-11-13,FR,Retail,NutriBox,NB-FR-001,0,128,128,109,104,116
2022-11-14,FR,Retail,NutriBox,NB-FR-001,0,145,145,134,130,131
2022-11-15,FR,Retail,NutriBox,NB-FR-001,0,137,137,129,119,134
2022-11-16,FR,Retail,NutriBox,NB-FR-001,1,221,221,206,198,215
2022-11-17,FR,Retail,NutriBox,NB-FR-001,0,130,130,135,138,142
2022-11-18,FR,Retail,NutriBox,NB-FR-001,0,91,91,107,103,95
2022-11-19,FR,Retail,NutriBox,NB-FR-001,0,123,123,100,112,124
2022-11-20,FR,Retail,NutriBox,NB-FR-001,0,110,110,124,118,105
2022-11-21,FR,Retail,NutriBox,NB-FR-001,0,108,108,90,86,85
2022-11-22,FR,Retail,NutriBox,NB-FR-001,0,122,122,103,123,95
2022-11-23,FR,Retail,NutriBox,NB-FR-001,0,165,165,161,178,168
2022-11-24,FR,Retail,NutriBox,NB-FR-001,0,151,151,142,151,171
2022-11-25,FR,Retail,NutriBox,NB-FR-001,0,142,142,134,143,150
2022-11-26,FR,Retail,NutriBox,NB-FR-001,0,107,107,124,127,119
2022-11-27,FR,Retail,NutriBox,NB-FR-001,0,164,164,136,129,157
2022-11-28,FR,Retail,NutriBox,NB-FR-001,1,280,280,247,263,255
2022-11-29,FR,Retail,NutriBox,NB-FR-001,0,169,169,167,153,140
2022-11-30,FR,Retail,NutriBox,NB-FR-001,0,151,151,144,128,153
2022-12-01,FR,Retail,NutriBox,NB-FR-001,1,178,178,172,186,167
2022-12-02,FR,Retail,NutriBox,NB-FR-001,0,161,161,171,131,155
2022-12-03,FR,Retail,NutriBox,NB-FR-001,0,71,71,74,72,79
2022-12-04,FR,Retail,NutriBox,NB-FR-001,0,160,160,175,160,207
2022-12-05,FR,Retail,NutriBox,NB-FR-001,0,111,111,110,96,111
2022-12-06,FR,Retail,NutriBox,NB-FR-001,1,217,217,207,175,242
2022-12-07,FR,Retail,NutriBox,NB-FR-001,0,106,106,103,91,98
2022-12-08,FR,Retail,NutriBox,NB-FR-001,0,188,188,158,144,185
2022-12-09,FR,Retail,NutriBox,NB-FR-001,1,244,244,241,196,272
2022-12-10,FR,Retail,NutriBox,NB-FR-001,0,178,178,156,156,127
2022-12-11,FR,Retail,NutriBox,NB-FR-001,1,199,199,204,228,182
2022-12-12,FR,Retail,NutriBox,NB-FR-001,0,120,120,121,114,123
